invoice_id,branch,city,customer_type,gender,product_line,unit_price
489-82-1237,A,Yangon,Normal,Female,Electronic accessories,93.88
144-51-6085,A,Yangon,Member,Male,Home and lifestyle,70.74
209-61-0206,A,Yangon,Normal,Female,Home and lifestyle,42.91
573-98-8548,C,Naypyitaw,Member,Female,Fashion accessories,31.9
843-01-4703,B,Mandalay,Member,Female,Home and lifestyle,35.38
217-58-1179,A,Yangon,Member,Male,Home and lifestyle,62.65
433-08-7822,C,Naypyitaw,Normal,Female,Health and beauty,78.89
704-11-6354,A,Yangon,Member,Male,Home and lifestyle,58.9
826-58-8051,B,Mandalay,Normal,Male,Home and lifestyle,62.19
729-06-2010,B,Mandalay,Member,Male,Health and beauty,80.47
393-65-2792,C,Naypyitaw,Normal,Male,Food and beverages,89.48
490-29-1201,A,Yangon,Normal,Female,Sports and travel,15.34
662-72-2873,A,Yangon,Normal,Female,Food and beverages,40.94
834-25-9262,C,Naypyitaw,Normal,Female,Fashion accessories,81.68
846-10-0341,A,Yangon,Normal,Female,Fashion accessories,42.57
852-82-2749,A,Yangon,Normal,Male,Sports and travel,64.59
232-16-2483,C,Naypyitaw,Member,Female,Sports and travel,68.12
390-31-6381,C,Naypyitaw,Normal,Male,Food and beverages,27.22
541-48-8554,A,Yangon,Normal,Male,Sports and travel,60.95
889-04-9723,B,Mandalay,Member,Female,Food and beverages,89.14
566-19-5475,B,Mandalay,Normal,Male,Fashion accessories,47.97
526-86-8552,C,Naypyitaw,Member,Female,Home and lifestyle,21.82
109-28-2512,B,Mandalay,Member,Female,Fashion accessories,97.61
126-54-1082,A,Yangon,Member,Female,Home and lifestyle,21.54
799-71-1548,A,Yangon,Member,Male,Electronic accessories,77.72
674-15-9296,A,Yangon,Normal,Male,Sports and travel,37.14
192-98-7397,C,Naypyitaw,Normal,Male,Fashion accessories,12.78
457-13-1708,B,Mandalay,Member,Male,Fashion accessories,65.23
767-97-4650,B,Mandalay,Member,Female,Sports and travel,64.83
663-86-9076,C,Naypyitaw,Member,Female,Food and beverages,68.54
571-94-0759,B,Mandalay,Member,Female,Food and beverages,74.6
189-08-9157,C,Naypyitaw,Normal,Female,Fashion accessories,31.73
750-57-9686,C,Naypyitaw,Normal,Female,Home and lifestyle,45.38
257-60-7754,A,Yangon,Normal,Female,Electronic accessories,50.23
490-95-0021,B,Mandalay,Member,Female,Food and beverages,33.21
241-96-5076,B,Mandalay,Member,Female,Home and lifestyle,49.1
442-44-6497,C,Naypyitaw,Member,Male,Home and lifestyle,55.57
631-34-1880,C,Naypyitaw,Member,Male,Food and beverages,24.31
124-31-1458,A,Yangon,Member,Female,Electronic accessories,79.59
840-76-5966,A,Yangon,Member,Male,Sports and travel,12.76
387-49-4215,B,Mandalay,Member,Female,Sports and travel,48.5
845-94-6841,C,Naypyitaw,Member,Female,Food and beverages,72.88
484-22-8230,C,Naypyitaw,Member,Female,Fashion accessories,51.89
263-10-3913,C,Naypyitaw,Member,Male,Fashion accessories,49.04
554-42-2417,C,Naypyitaw,Normal,Female,Sports and travel,95.44
343-75-9322,B,Mandalay,Member,Female,Sports and travel,11.85
370-96-0655,C,Naypyitaw,Normal,Female,Fashion accessories,49.32
288-62-1085,A,Yangon,Member,Male,Fashion accessories,38.54
189-40-5216,C,Naypyitaw,Normal,Male,Electronic accessories,96.37
867-47-1948,C,Naypyitaw,Normal,Female,Home and lifestyle,15.8
305-89-2768,B,Mandalay,Member,Female,Home and lifestyle,21.9
226-34-0034,B,Mandalay,Normal,Female,Electronic accessories,13.78
640-49-2076,B,Mandalay,Normal,Male,Sports and travel,83.78
665-32-9167,A,Yangon,Member,Female,Health and beauty,36.26
603-07-0961,C,Naypyitaw,Member,Male,Electronic accessories,74.79
577-34-7579,C,Naypyitaw,Member,Male,Food and beverages,50.49
887-42-0517,C,Naypyitaw,Normal,Female,Sports and travel,83.14
744-02-5987,A,Yangon,Member,Male,Home and lifestyle,78.38
241-11-2261,B,Mandalay,Normal,Female,Fashion accessories,79.86
873-51-0671,A,Yangon,Member,Female,Sports and travel,21.98
540-11-4336,A,Yangon,Normal,Male,Food and beverages,24.94
478-06-7835,A,Yangon,Normal,Male,Fashion accessories,89.69
592-46-1692,C,Naypyitaw,Member,Female,Food and beverages,36.77
732-67-5346,A,Yangon,Normal,Male,Food and beverages,13.79
406-46-7107,A,Yangon,Normal,Female,Home and lifestyle,96.52
130-67-4723,A,Yangon,Member,Male,Food and beverages,48.5
289-15-7034,A,Yangon,Member,Male,Sports and travel,82.33
746-68-6593,C,Naypyitaw,Member,Female,Sports and travel,87.16
647-50-1224,A,Yangon,Normal,Female,Fashion accessories,29.42
659-36-1684,C,Naypyitaw,Member,Male,Sports and travel,57.12
848-07-1692,B,Mandalay,Normal,Female,Health and beauty,57.22
533-66-5566,B,Mandalay,Normal,Female,Home and lifestyle,51.07
296-11-7041,B,Mandalay,Member,Female,Health and beauty,27.07
751-15-6198,B,Mandalay,Normal,Male,Sports and travel,23.01
381-20-0914,A,Yangon,Member,Female,Fashion accessories,20.01
704-48-3927,A,Yangon,Member,Male,Electronic accessories,88.67
852-62-7105,B,Mandalay,Normal,Female,Fashion accessories,83.25
751-41-9720,C,Naypyitaw,Normal,Male,Home and lifestyle,97.5
197-77-7132,B,Mandalay,Member,Male,Electronic accessories,91.56
397-25-8725,A,Yangon,Member,Female,Health and beauty,39.62
460-93-5834,A,Yangon,Normal,Male,Sports and travel,45.58
327-40-9673,B,Mandalay,Member,Male,Sports and travel,72.6
195-06-0432,A,Yangon,Member,Male,Home and lifestyle,81.01
732-94-0499,C,Naypyitaw,Normal,Female,Electronic accessories,41.65
339-38-9982,B,Mandalay,Member,Male,Fashion accessories,59.86
784-08-0310,C,Naypyitaw,Member,Female,Food and beverages,21.04
355-34-6244,B,Mandalay,Normal,Male,Food and beverages,72.39
556-86-3144,C,Naypyitaw,Member,Female,Fashion accessories,74.29
459-50-7686,A,Yangon,Normal,Female,Electronic accessories,23.46
451-73-2711,C,Naypyitaw,Normal,Male,Food and beverages,84.83
588-47-8641,A,Yangon,Member,Male,Fashion accessories,56.04
426-39-2418,C,Naypyitaw,Normal,Male,Electronic accessories,61.41
320-85-2052,B,Mandalay,Normal,Female,Sports and travel,34.81
868-52-7573,B,Mandalay,Normal,Female,Food and beverages,99.69
785-13-7708,B,Mandalay,Normal,Male,Food and beverages,73.06
559-61-5987,B,Mandalay,Normal,Female,Health and beauty,17.75
592-34-6155,C,Naypyitaw,Normal,Male,Food and beverages,31.77
667-23-5919,A,Yangon,Member,Female,Fashion accessories,96.7
704-10-4056,C,Naypyitaw,Member,Male,Health and beauty,60.47
359-90-3665,B,Mandalay,Member,Female,Fashion accessories,18.08
377-79-7592,C,Naypyitaw,Member,Female,Electronic accessories,44.84
658-66-3967,C,Naypyitaw,Normal,Male,Health and beauty,53.19
314-23-4520,C,Naypyitaw,Member,Male,Health and beauty,81.23
744-16-7898,B,Mandalay,Normal,Female,Home and lifestyle,97.37
301-11-9629,A,Yangon,Normal,Female,Sports and travel,19.1
437-58-8131,B,Mandalay,Normal,Female,Fashion accessories,73.52
369-82-2676,B,Mandalay,Normal,Male,Electronic accessories,75.66
299-46-1805,B,Mandalay,Member,Female,Sports and travel,93.72
272-65-1806,A,Yangon,Normal,Female,Electronic accessories,60.88
138-17-5109,A,Yangon,Member,Female,Home and lifestyle,89.21
188-55-0967,B,Mandalay,Member,Male,Health and beauty,66.47
886-54-6089,A,Yangon,Normal,Female,Home and lifestyle,11.43
450-28-2866,C,Naypyitaw,Member,Male,Food and beverages,17.44
589-02-8023,A,Yangon,Member,Male,Food and beverages,83.77
660-29-7083,C,Naypyitaw,Normal,Male,Electronic accessories,55.87
648-83-1321,A,Yangon,Member,Male,Home and lifestyle,63.56
234-65-2137,C,Naypyitaw,Normal,Male,Home and lifestyle,95.58
677-11-0152,C,Naypyitaw,Normal,Female,Food and beverages,93.26
618-34-8551,A,Yangon,Normal,Female,Sports and travel,93.18
347-72-6115,B,Mandalay,Member,Female,Sports and travel,90.74
859-71-0933,C,Naypyitaw,Member,Female,Sports and travel,15.49
286-62-6248,B,Mandalay,Normal,Male,Fashion accessories,39.21
842-29-4695,C,Naypyitaw,Member,Male,Sports and travel,17.14
372-62-5264,C,Naypyitaw,Normal,Female,Food and beverages,52.6
659-65-8956,B,Mandalay,Member,Male,Fashion accessories,51.36
670-79-6321,B,Mandalay,Member,Female,Home and lifestyle,94.59
679-22-6530,B,Mandalay,Normal,Female,Sports and travel,40.62
698-98-5964,A,Yangon,Normal,Female,Food and beverages,81.21
600-38-9738,C,Naypyitaw,Member,Male,Sports and travel,71.92
101-81-4070,C,Naypyitaw,Member,Female,Health and beauty,62.82
349-97-8902,B,Mandalay,Member,Male,Food and beverages,57.89
445-30-9252,A,Yangon,Normal,Male,Sports and travel,25.7
497-37-6538,A,Yangon,Normal,Male,Sports and travel,58.91
746-54-5508,A,Yangon,Normal,Male,Home and lifestyle,21.52
200-16-5952,C,Naypyitaw,Member,Male,Food and beverages,65.65
280-35-5823,B,Mandalay,Member,Female,Home and lifestyle,86.72
166-19-2553,A,Yangon,Member,Male,Sports and travel,89.06
678-79-0726,C,Naypyitaw,Member,Female,Sports and travel,90.63
622-20-1945,C,Naypyitaw,Normal,Female,Health and beauty,39.42
562-12-5430,A,Yangon,Member,Female,Fashion accessories,88.15
821-14-9046,B,Mandalay,Member,Female,Fashion accessories,17.48
700-81-1757,A,Yangon,Normal,Female,Electronic accessories,26.31
706-36-6154,A,Yangon,Member,Male,Home and lifestyle,19.36
414-12-7047,B,Mandalay,Normal,Male,Food and beverages,19.79
781-84-8059,C,Naypyitaw,Normal,Male,Fashion accessories,60.74
882-40-4577,A,Yangon,Member,Male,Sports and travel,67.26
125-45-2293,A,Yangon,Normal,Female,Fashion accessories,99.1
809-69-9497,A,Yangon,Normal,Female,Home and lifestyle,45.68
832-51-6761,A,Yangon,Normal,Male,Food and beverages,33.88
149-61-1929,A,Yangon,Normal,Male,Sports and travel,64.19
608-27-6295,B,Mandalay,Member,Male,Electronic accessories,52.89
645-44-1170,A,Yangon,Member,Male,Home and lifestyle,58.07
375-72-3056,B,Mandalay,Normal,Male,Sports and travel,63.06
761-49-0439,B,Mandalay,Member,Female,Electronic accessories,12.1
796-32-9050,A,Yangon,Normal,Male,Food and beverages,51.28
284-54-4231,C,Naypyitaw,Member,Male,Sports and travel,80.93
151-27-8496,C,Naypyitaw,Normal,Female,Electronic accessories,56.13
894-41-5205,C,Naypyitaw,Normal,Female,Food and beverages,43.18
482-17-1179,A,Yangon,Member,Male,Electronic accessories,11.94
728-47-9078,C,Naypyitaw,Member,Male,Food and beverages,59.59
779-06-0012,C,Naypyitaw,Member,Female,Home and lifestyle,88.61
458-10-8612,C,Naypyitaw,Normal,Male,Health and beauty,64.08
356-44-8813,B,Mandalay,Normal,Male,Home and lifestyle,37.48
257-73-1380,C,Naypyitaw,Member,Male,Sports and travel,82.93
760-27-5490,C,Naypyitaw,Normal,Male,Fashion accessories,15.62
410-67-1709,A,Yangon,Member,Female,Fashion accessories,63.88
817-48-8732,A,Yangon,Member,Female,Home and lifestyle,72.35
725-96-3778,C,Naypyitaw,Member,Female,Home and lifestyle,89.25
787-87-2010,A,Yangon,Member,Male,Health and beauty,55.5
378-24-2715,B,Mandalay,Normal,Male,Home and lifestyle,53.44
645-78-8093,A,Yangon,Normal,Female,Sports and travel,93.14
329-62-1586,A,Yangon,Normal,Male,Food and beverages,54.67
269-10-8440,A,Yangon,Member,Male,Health and beauty,53.17
870-72-4431,C,Naypyitaw,Normal,Female,Health and beauty,99.19
239-10-7476,A,Yangon,Normal,Female,Home and lifestyle,77.95
316-68-6352,A,Yangon,Member,Female,Food and beverages,36.36
401-18-8016,B,Mandalay,Member,Female,Sports and travel,98.13
162-65-8559,C,Naypyitaw,Member,Male,Food and beverages,68.98
462-67-9126,A,Yangon,Normal,Male,Home and lifestyle,73.22
460-35-4390,A,Yangon,Normal,Male,Home and lifestyle,30.68
287-21-9091,A,Yangon,Normal,Male,Home and lifestyle,74.67
521-18-7827,C,Naypyitaw,Member,Male,Home and lifestyle,39.39
563-47-4072,B,Mandalay,Normal,Female,Health and beauty,55.81
186-09-3669,C,Naypyitaw,Member,Female,Health and beauty,81.51
756-01-7507,C,Naypyitaw,Normal,Female,Health and beauty,20.38
120-54-2248,B,Mandalay,Normal,Female,Food and beverages,28.86
316-66-3011,A,Yangon,Member,Female,Food and beverages,47.63
148-41-7930,C,Naypyitaw,Normal,Male,Health and beauty,99.96
790-38-4466,C,Naypyitaw,Normal,Female,Health and beauty,10.99
213-32-1216,A,Yangon,Normal,Female,Electronic accessories,66.06
160-22-2687,A,Yangon,Member,Female,Health and beauty,95.95
318-12-0304,A,Yangon,Normal,Male,Fashion accessories,30.61
740-22-2500,C,Naypyitaw,Normal,Female,Electronic accessories,84.05
828-46-6863,A,Yangon,Member,Male,Food and beverages,98.53
565-80-5980,C,Naypyitaw,Member,Female,Home and lifestyle,47.38
731-81-9469,C,Naypyitaw,Member,Female,Sports and travel,89.8
480-63-2856,C,Naypyitaw,Normal,Male,Food and beverages,19.25
434-83-9547,C,Naypyitaw,Member,Male,Food and beverages,38.47
809-46-1866,A,Yangon,Normal,Male,Health and beauty,58.15
767-05-1286,C,Naypyitaw,Member,Female,Home and lifestyle,83.77
604-70-6476,A,Yangon,Member,Male,Fashion accessories,17.94
219-61-4139,C,Naypyitaw,Normal,Male,Electronic accessories,83.08
477-59-2456,C,Naypyitaw,Normal,Female,Fashion accessories,45.44
435-13-4908,A,Yangon,Member,Male,Fashion accessories,86.68
510-79-0415,B,Mandalay,Member,Female,Sports and travel,23.08
235-06-8510,C,Naypyitaw,Member,Male,Home and lifestyle,85.72
139-20-0155,B,Mandalay,Member,Male,Electronic accessories,40.3
232-11-3025,A,Yangon,Normal,Male,Sports and travel,78.77
438-23-1242,B,Mandalay,Normal,Male,Electronic accessories,75.88
775-72-1988,B,Mandalay,Normal,Male,Home and lifestyle,73.28
602-16-6955,B,Mandalay,Normal,Female,Sports and travel,76.6
443-60-9639,C,Naypyitaw,Member,Female,Home and lifestyle,60.87
789-23-8625,B,Mandalay,Member,Male,Fashion accessories,93.22
778-34-2523,A,Yangon,Member,Female,Electronic accessories,48.62
237-44-6163,A,Yangon,Normal,Male,Electronic accessories,10.56
726-27-2396,A,Yangon,Normal,Female,Health and beauty,77.5
261-12-8671,B,Mandalay,Normal,Female,Fashion accessories,60.96
283-79-9594,B,Mandalay,Normal,Female,Food and beverages,48.51
730-61-8757,B,Mandalay,Member,Male,Health and beauty,51.13
340-21-9136,A,Yangon,Member,Female,Sports and travel,40.05
307-83-9164,A,Yangon,Member,Male,Home and lifestyle,60.01
569-71-4390,B,Mandalay,Normal,Male,Sports and travel,21.87
268-03-6164,B,Mandalay,Normal,Male,Health and beauty,96.11
778-71-5554,C,Naypyitaw,Member,Male,Fashion accessories,15.43
145-94-9061,B,Mandalay,Normal,Female,Food and beverages,88.36
843-73-4724,A,Yangon,Normal,Male,Fashion accessories,74.1
191-10-6171,B,Mandalay,Normal,Female,Fashion accessories,39.62
288-38-3758,C,Naypyitaw,Member,Female,Fashion accessories,84.87
280-17-4359,C,Naypyitaw,Member,Male,Health and beauty,90.5
394-55-6384,C,Naypyitaw,Member,Female,Sports and travel,70.19
824-88-3614,C,Naypyitaw,Normal,Male,Health and beauty,34.31
888-02-0338,A,Yangon,Normal,Male,Electronic accessories,26.23
856-66-2701,A,Yangon,Member,Male,Home and lifestyle,53.3
881-41-7302,C,Naypyitaw,Normal,Female,Fashion accessories,64.99
896-34-0956,A,Yangon,Normal,Male,Fashion accessories,21.32
308-39-1707,A,Yangon,Normal,Female,Fashion accessories,12.09
135-13-8269,B,Mandalay,Member,Female,Food and beverages,78.88
539-21-7227,B,Mandalay,Normal,Female,Sports and travel,51.54
794-42-3736,B,Mandalay,Normal,Male,Food and beverages,33.33
847-38-7188,B,Mandalay,Normal,Female,Food and beverages,96.68
834-61-8124,A,Yangon,Normal,Male,Electronic accessories,51.69
836-82-5858,B,Mandalay,Member,Male,Health and beauty,69.37
641-43-2399,B,Mandalay,Normal,Male,Home and lifestyle,25.55
258-69-7810,C,Naypyitaw,Normal,Female,Fashion accessories,36.85
452-04-8808,B,Mandalay,Normal,Male,Electronic accessories,87.08
289-65-5721,B,Mandalay,Normal,Female,Fashion accessories,81.37
316-55-4634,B,Mandalay,Member,Male,Food and beverages,80.05
173-82-9529,B,Mandalay,Normal,Female,Fashion accessories,37.95
225-32-0908,C,Naypyitaw,Normal,Female,Sports and travel,44.86
176-78-1170,C,Naypyitaw,Member,Male,Health and beauty,33.81
394-41-0748,C,Naypyitaw,Member,Female,Fashion accessories,54.07
123-19-1176,A,Yangon,Member,Male,Health and beauty,58.22
325-90-8763,C,Naypyitaw,Member,Female,Electronic accessories,46.57
869-11-3082,B,Mandalay,Member,Male,Health and beauty,96.16
862-59-8517,C,Naypyitaw,Normal,Female,Food and beverages,90.24
585-90-0249,A,Yangon,Member,Male,Electronic accessories,73.26
870-54-3162,A,Yangon,Normal,Female,Sports and travel,32.25
624-01-8356,B,Mandalay,Normal,Female,Home and lifestyle,49.01
595-27-4851,A,Yangon,Normal,Female,Fashion accessories,54.28
534-01-4457,A,Yangon,Normal,Male,Food and beverages,81.71
788-07-8452,C,Naypyitaw,Member,Female,Home and lifestyle,24.24
613-59-9758,C,Naypyitaw,Normal,Female,Sports and travel,14.36
633-91-1052,A,Yangon,Normal,Female,Home and lifestyle,12.03
620-02-2046,C,Naypyitaw,Normal,Male,Home and lifestyle,69.4
865-41-9075,A,Yangon,Normal,Male,Food and beverages,11.53
243-47-2663,C,Naypyitaw,Member,Male,Electronic accessories,18.77
372-26-1506,C,Naypyitaw,Normal,Female,Fashion accessories,23.82
149-71-6266,B,Mandalay,Member,Male,Sports and travel,78.07
400-89-4171,C,Naypyitaw,Normal,Female,Sports and travel,80.97
430-53-4718,B,Mandalay,Member,Male,Health and beauty,75.37
390-80-5128,B,Mandalay,Member,Female,Health and beauty,19.15
699-88-1972,B,Mandalay,Normal,Male,Health and beauty,99.16
342-65-4817,C,Naypyitaw,Member,Male,Health and beauty,86.8
593-65-1552,C,Naypyitaw,Normal,Female,Home and lifestyle,69.81
726-29-6793,A,Yangon,Member,Male,Electronic accessories,24.18
544-55-9589,B,Mandalay,Member,Female,Electronic accessories,21.43
211-30-9270,C,Naypyitaw,Normal,Male,Health and beauty,17.41
222-42-0244,B,Mandalay,Member,Female,Health and beauty,72.11
569-76-2760,A,Yangon,Member,Female,Sports and travel,22.01
110-48-7033,B,Mandalay,Member,Male,Fashion accessories,32.62
233-67-5758,C,Naypyitaw,Normal,Male,Health and beauty,40.35
382-25-8917,C,Naypyitaw,Normal,Male,Fashion accessories,42.08
137-63-5492,C,Naypyitaw,Normal,Male,Electronic accessories,58.76
343-61-3544,B,Mandalay,Member,Male,Sports and travel,26.67
746-94-0204,A,Yangon,Normal,Male,Fashion accessories,83.24
862-17-9201,B,Mandalay,Normal,Female,Food and beverages,84.05
606-80-4905,C,Naypyitaw,Member,Female,Sports and travel,19.15
816-72-8853,A,Yangon,Member,Female,Sports and travel,27.93
800-09-8606,A,Yangon,Member,Female,Home and lifestyle,87.37
575-67-1508,A,Yangon,Normal,Male,Electronic accessories,38.6
134-54-4720,B,Mandalay,Normal,Female,Electronic accessories,42.42
862-29-5914,C,Naypyitaw,Normal,Female,Sports and travel,22.38
182-69-8360,B,Mandalay,Normal,Female,Electronic accessories,23.65
804-38-3935,A,Yangon,Member,Male,Electronic accessories,93.78
283-26-5248,C,Naypyitaw,Member,Female,Food and beverages,98.52
556-72-8512,C,Naypyitaw,Normal,Male,Home and lifestyle,22.96
416-13-5917,C,Naypyitaw,Normal,Female,Food and beverages,97.03
664-14-2882,C,Naypyitaw,Member,Female,Home and lifestyle,10.53
423-80-0988,C,Naypyitaw,Normal,Male,Sports and travel,76.4
189-55-2313,C,Naypyitaw,Normal,Female,Fashion accessories,62.18
583-72-1480,C,Naypyitaw,Member,Male,Electronic accessories,37.06
239-36-3640,B,Mandalay,Normal,Male,Electronic accessories,45.35
735-32-9839,C,Naypyitaw,Member,Male,Fashion accessories,98.7
226-71-3580,C,Naypyitaw,Normal,Female,Sports and travel,23.75
286-75-7818,B,Mandalay,Normal,Male,Fashion accessories,69.08
366-93-0948,A,Yangon,Member,Male,Electronic accessories,66.35
525-09-8450,B,Mandalay,Normal,Male,Electronic accessories,72.13
834-45-5519,B,Mandalay,Normal,Female,Electronic accessories,43.0
525-88-7307,B,Mandalay,Member,Male,Sports and travel,75.82
187-83-5490,A,Yangon,Member,Male,Electronic accessories,20.77
532-59-7201,B,Mandalay,Member,Male,Sports and travel,79.93
522-57-8364,A,Yangon,Member,Male,Fashion accessories,51.34
457-94-0464,B,Mandalay,Member,Male,Electronic accessories,87.87
551-21-3069,C,Naypyitaw,Normal,Female,Electronic accessories,23.07
237-01-6122,C,Naypyitaw,Member,Female,Home and lifestyle,80.79
358-88-9262,C,Naypyitaw,Member,Female,Food and beverages,87.48
105-31-1824,A,Yangon,Member,Male,Sports and travel,69.52
870-76-1733,A,Yangon,Member,Female,Food and beverages,14.23
443-82-0585,A,Yangon,Member,Female,Health and beauty,77.68
541-08-3113,C,Naypyitaw,Normal,Male,Food and beverages,65.97
418-05-0656,B,Mandalay,Normal,Female,Fashion accessories,25.56
405-31-3305,A,Yangon,Member,Male,Fashion accessories,43.13
717-96-4189,C,Naypyitaw,Normal,Female,Electronic accessories,35.49
390-17-5806,C,Naypyitaw,Member,Female,Food and beverages,38.42
201-86-2184,B,Mandalay,Member,Female,Electronic accessories,26.26
756-93-1854,C,Naypyitaw,Member,Female,Fashion accessories,83.35
420-18-8989,A,Yangon,Member,Female,Sports and travel,51.52
642-32-2990,A,Yangon,Normal,Female,Food and beverages,10.96
845-51-0542,B,Mandalay,Member,Male,Food and beverages,46.55
376-56-3573,C,Naypyitaw,Normal,Female,Fashion accessories,95.42
382-03-4532,A,Yangon,Member,Female,Health and beauty,18.33
554-53-8700,C,Naypyitaw,Member,Male,Home and lifestyle,56.11
376-02-8238,B,Mandalay,Normal,Male,Home and lifestyle,93.87
676-10-2200,B,Mandalay,Member,Male,Fashion accessories,53.78
443-59-0061,A,Yangon,Member,Male,Food and beverages,67.45
326-78-5178,C,Naypyitaw,Member,Male,Food and beverages,91.4
585-86-8361,A,Yangon,Normal,Female,Food and beverages,27.28
277-63-2961,B,Mandalay,Member,Male,Sports and travel,73.97
322-02-2271,B,Mandalay,Normal,Female,Sports and travel,42.97
742-04-5161,A,Yangon,Member,Male,Home and lifestyle,72.78
347-34-2234,B,Mandalay,Member,Female,Sports and travel,55.07
718-57-9773,C,Naypyitaw,Normal,Female,Sports and travel,49.33
190-59-3964,B,Mandalay,Member,Male,Food and beverages,47.16
326-71-2155,C,Naypyitaw,Normal,Female,Sports and travel,73.95
639-76-1242,C,Naypyitaw,Normal,Male,Food and beverages,40.52
430-60-3493,A,Yangon,Member,Female,Home and lifestyle,94.88
566-71-1091,A,Yangon,Normal,Male,Fashion accessories,77.02
151-33-7434,B,Mandalay,Normal,Female,Food and beverages,67.77
745-71-3520,A,Yangon,Member,Female,Electronic accessories,25.22
627-95-3243,B,Mandalay,Member,Female,Home and lifestyle,77.68
518-17-2983,A,Yangon,Normal,Female,Fashion accessories,48.63
434-35-9162,B,Mandalay,Member,Male,Food and beverages,23.34
404-91-5964,A,Yangon,Normal,Male,Electronic accessories,74.58
695-28-6250,A,Yangon,Normal,Female,Sports and travel,43.06
268-20-3585,C,Naypyitaw,Normal,Female,Health and beauty,13.85
198-66-9832,B,Mandalay,Member,Female,Fashion accessories,72.04
441-94-7118,A,Yangon,Member,Male,Electronic accessories,71.95
236-86-3015,C,Naypyitaw,Member,Male,Home and lifestyle,13.98
338-65-2210,C,Naypyitaw,Member,Female,Health and beauty,68.6
324-92-3863,A,Yangon,Member,Male,Electronic accessories,20.89
181-94-6432,C,Naypyitaw,Member,Male,Fashion accessories,69.33
307-04-2070,A,Yangon,Member,Female,Fashion accessories,30.62
325-89-4209,A,Yangon,Member,Male,Food and beverages,87.9
210-67-5886,C,Naypyitaw,Member,Female,Health and beauty,98.21
880-35-0356,A,Yangon,Member,Female,Sports and travel,75.2
479-26-8945,B,Mandalay,Member,Female,Sports and travel,16.49
729-09-9681,A,Yangon,Member,Male,Home and lifestyle,25.91
409-49-6995,C,Naypyitaw,Member,Female,Food and beverages,47.27
374-17-3652,B,Mandalay,Member,Female,Food and beverages,42.82
210-57-1719,B,Mandalay,Normal,Female,Health and beauty,58.24
811-35-1094,B,Mandalay,Member,Male,Electronic accessories,50.45
149-14-0304,C,Naypyitaw,Member,Female,Health and beauty,28.5
351-62-0822,B,Mandalay,Member,Female,Fashion accessories,14.48
471-06-8611,C,Naypyitaw,Normal,Female,Food and beverages,52.42
727-46-3608,B,Mandalay,Member,Female,Food and beverages,20.01
595-86-2894,C,Naypyitaw,Member,Male,Fashion accessories,96.98
258-92-7466,A,Yangon,Normal,Female,Health and beauty,35.68
