invoice_id,branch,city,customer_type,gender,product_line,unit_price,date,time,payment,quantity,tax_5_percent,total,cogs,gross_income,gross_margin_percentage,rating
744-09-5786,B,Mandalay,Normal,Male,Electronic accessories,22.01,2019-01-02,18:50,Cash,6,6.603,138.663,132.06,6.603,4.7619,7.6
198-84-7132,B,Mandalay,Member,Male,Fashion accessories,40.61,2019-01-02,13:40,Cash,9,18.2745,383.764,365.49,18.2745,4.7619,7.0
244-08-0162,B,Mandalay,Normal,Female,Health and beauty,34.21,2019-01-02,13:00,Cash,10,17.105,359.205,342.1,17.105,4.7619,5.1
446-47-6729,C,Naypyitaw,Normal,Male,Fashion accessories,99.82,2019-01-02,18:09,Credit card,2,9.982,209.622,199.64,9.982,4.7619,6.7
504-35-8843,A,Yangon,Normal,Male,Sports and travel,42.47,2019-01-02,16:57,Cash,1,2.1235,44.5935,42.47,2.1235,4.7619,5.7
712-39-0363,A,Yangon,Member,Male,Food and beverages,41.66,2019-01-02,15:24,Ewallet,6,12.498,262.458,249.96,12.498,4.7619,5.6
670-71-7306,B,Mandalay,Normal,Male,Sports and travel,44.63,2019-01-02,20:08,Credit card,6,13.389,281.169,267.78,13.389,4.7619,5.1
345-68-9016,C,Naypyitaw,Member,Female,Sports and travel,31.67,2019-01-02,16:19,Credit card,8,12.668,266.028,253.36,12.668,4.7619,5.6
749-24-1565,A,Yangon,Normal,Female,Health and beauty,23.03,2019-01-03,12:02,Ewallet,9,10.3635,217.633,207.27,10.3635,4.7619,7.9
422-29-8786,A,Yangon,Normal,Female,Home and lifestyle,67.09,2019-01-03,16:47,Credit card,5,16.7725,352.223,335.45,16.7725,4.7619,9.1
249-42-3782,A,Yangon,Normal,Male,Health and beauty,70.01,2019-01-03,11:36,Ewallet,5,17.5025,367.552,350.05,17.5025,4.7619,5.5
501-61-1753,B,Mandalay,Normal,Female,Home and lifestyle,63.15,2019-01-03,20:24,Ewallet,6,18.945,397.845,378.9,18.945,4.7619,9.8
343-87-0864,C,Naypyitaw,Member,Male,Health and beauty,75.88,2019-01-03,10:30,Credit card,1,3.794,79.674,75.88,3.794,4.7619,7.1
875-31-8302,B,Mandalay,Normal,Male,Sports and travel,93.38,2019-01-03,13:07,Cash,1,4.669,98.049,93.38,4.669,4.7619,9.6
687-15-1097,C,Naypyitaw,Member,Female,Health and beauty,21.12,2019-01-03,19:17,Cash,2,2.112,44.352,42.24,2.112,4.7619,9.7
552-44-5977,B,Mandalay,Member,Male,Health and beauty,62.0,2019-01-03,19:08,Credit card,8,24.8,520.8,496.0,24.8,4.7619,6.2
731-14-2199,A,Yangon,Member,Female,Home and lifestyle,35.54,2019-01-04,13:34,Ewallet,10,17.77,373.17,355.4,17.77,4.7619,7.0
725-32-9708,B,Mandalay,Member,Female,Fashion accessories,68.71,2019-01-04,19:01,Cash,4,13.742,288.582,274.84,13.742,4.7619,4.1
656-16-1063,B,Mandalay,Normal,Male,Sports and travel,46.42,2019-01-04,13:24,Credit card,3,6.963,146.223,139.26,6.963,4.7619,4.4
132-23-6451,A,Yangon,Member,Male,Health and beauty,20.97,2019-01-04,13:21,Cash,5,5.2425,110.092,104.85,5.2425,4.7619,7.8
279-74-2924,B,Mandalay,Member,Male,Electronic accessories,72.17,2019-01-04,19:40,Cash,1,3.6085,75.7785,72.17,3.6085,4.7619,6.1
672-51-8681,C,Naypyitaw,Member,Female,Electronic accessories,66.65,2019-01-04,18:19,Credit card,9,29.9925,629.843,599.85,29.9925,4.7619,9.7
801-88-0346,C,Naypyitaw,Normal,Female,Fashion accessories,76.06,2019-01-05,20:30,Credit card,3,11.409,239.589,228.18,11.409,4.7619,9.8
628-34-3388,C,Naypyitaw,Normal,Male,Fashion accessories,27.38,2019-01-05,20:54,Credit card,6,8.214,172.494,164.28,8.214,4.7619,7.9
750-67-8428,A,Yangon,Member,Female,Health and beauty,74.69,2019-01-05,13:08,Ewallet,7,26.1415,548.971,522.83,26.1415,4.7619,9.1
841-18-8232,B,Mandalay,Normal,Female,Food and beverages,71.2,2019-01-05,20:40,Credit card,1,3.56,74.76,71.2,3.56,4.7619,9.2
339-12-4827,B,Mandalay,Member,Female,Fashion accessories,73.96,2019-01-05,11:32,Credit card,1,3.698,77.658,73.96,3.698,4.7619,5.0
489-82-1237,A,Yangon,Normal,Female,Electronic accessories,93.88,2019-01-05,11:51,Credit card,7,32.858,690.018,657.16,32.858,4.7619,7.3
144-51-6085,A,Yangon,Member,Male,Home and lifestyle,70.74,2019-01-05,16:05,Credit card,4,14.148,297.108,282.96,14.148,4.7619,4.4
209-61-0206,A,Yangon,Normal,Female,Home and lifestyle,42.91,2019-01-05,17:29,Ewallet,5,10.7275,225.277,214.55,10.7275,4.7619,6.1
573-98-8548,C,Naypyitaw,Member,Female,Fashion accessories,31.9,2019-01-05,12:40,Ewallet,1,1.595,33.495,31.9,1.595,4.7619,9.1
843-01-4703,B,Mandalay,Member,Female,Home and lifestyle,35.38,2019-01-05,19:50,Credit card,9,15.921,334.341,318.42,15.921,4.7619,9.6
217-58-1179,A,Yangon,Member,Male,Home and lifestyle,62.65,2019-01-05,11:25,Cash,4,12.53,263.13,250.6,12.53,4.7619,4.2
433-08-7822,C,Naypyitaw,Normal,Female,Health and beauty,78.89,2019-01-05,19:48,Ewallet,7,27.6115,579.841,552.23,27.6115,4.7619,7.5
704-11-6354,A,Yangon,Member,Male,Home and lifestyle,58.9,2019-01-06,11:23,Cash,8,23.56,494.76,471.2,23.56,4.7619,8.9
826-58-8051,B,Mandalay,Normal,Male,Home and lifestyle,62.19,2019-01-06,19:46,Ewallet,4,12.438,261.198,248.76,12.438,4.7619,4.3
729-06-2010,B,Mandalay,Member,Male,Health and beauty,80.47,2019-01-06,11:18,Cash,9,36.2115,760.442,724.23,36.2115,4.7619,9.2
393-65-2792,C,Naypyitaw,Normal,Male,Food and beverages,89.48,2019-01-06,12:46,Credit card,10,44.74,939.54,894.8,44.74,4.7619,9.6
490-29-1201,A,Yangon,Normal,Female,Sports and travel,15.34,2019-01-06,11:09,Cash,1,0.767,16.107,15.34,0.767,4.7619,6.5
662-72-2873,A,Yangon,Normal,Female,Food and beverages,40.94,2019-01-06,13:58,Ewallet,5,10.235,214.935,204.7,10.235,4.7619,9.9
834-25-9262,C,Naypyitaw,Normal,Female,Fashion accessories,81.68,2019-01-06,12:12,Cash,4,16.336,343.056,326.72,16.336,4.7619,9.1
846-10-0341,A,Yangon,Normal,Female,Fashion accessories,42.57,2019-01-06,11:51,Cash,7,14.8995,312.889,297.99,14.8995,4.7619,6.8
852-82-2749,A,Yangon,Normal,Male,Sports and travel,64.59,2019-01-06,13:35,Ewallet,4,12.918,271.278,258.36,12.918,4.7619,9.3
232-16-2483,C,Naypyitaw,Member,Female,Sports and travel,68.12,2019-01-07,12:28,Ewallet,1,3.406,71.526,68.12,3.406,4.7619,6.8
390-31-6381,C,Naypyitaw,Normal,Male,Food and beverages,27.22,2019-01-07,12:37,Cash,3,4.083,85.743,81.66,4.083,4.7619,7.3
541-48-8554,A,Yangon,Normal,Male,Sports and travel,60.95,2019-01-07,12:08,Credit card,9,27.4275,575.977,548.55,27.4275,4.7619,6.0
889-04-9723,B,Mandalay,Member,Female,Food and beverages,89.14,2019-01-07,12:20,Credit card,4,17.828,374.388,356.56,17.828,4.7619,7.8
566-19-5475,B,Mandalay,Normal,Male,Fashion accessories,47.97,2019-01-07,20:52,Cash,7,16.7895,352.579,335.79,16.7895,4.7619,6.2
526-86-8552,C,Naypyitaw,Member,Female,Home and lifestyle,21.82,2019-01-07,17:36,Cash,10,10.91,229.11,218.2,10.91,4.7619,7.1
109-28-2512,B,Mandalay,Member,Female,Fashion accessories,97.61,2019-01-07,15:01,Ewallet,6,29.283,614.943,585.66,29.283,4.7619,9.9
126-54-1082,A,Yangon,Member,Female,Home and lifestyle,21.54,2019-01-07,11:44,Credit card,9,9.693,203.553,193.86,9.693,4.7619,8.8
799-71-1548,A,Yangon,Member,Male,Electronic accessories,77.72,2019-01-07,16:11,Credit card,4,15.544,326.424,310.88,15.544,4.7619,8.8
674-15-9296,A,Yangon,Normal,Male,Sports and travel,37.14,2019-01-08,13:05,Ewallet,5,9.285,194.985,185.7,9.285,4.7619,5.0
192-98-7397,C,Naypyitaw,Normal,Male,Fashion accessories,12.78,2019-01-08,14:11,Ewallet,1,0.639,13.419,12.78,0.639,4.7619,9.5
457-13-1708,B,Mandalay,Member,Male,Fashion accessories,65.23,2019-01-08,19:07,Credit card,10,32.615,684.915,652.3,32.615,4.7619,5.2
767-97-4650,B,Mandalay,Member,Female,Sports and travel,64.83,2019-01-08,11:59,Credit card,2,6.483,136.143,129.66,6.483,4.7619,8.0
663-86-9076,C,Naypyitaw,Member,Female,Food and beverages,68.54,2019-01-08,15:57,Ewallet,8,27.416,575.736,548.32,27.416,4.7619,8.5
571-94-0759,B,Mandalay,Member,Female,Food and beverages,74.6,2019-01-08,20:55,Cash,10,37.3,783.3,746.0,37.3,4.7619,9.5
189-08-9157,C,Naypyitaw,Normal,Female,Fashion accessories,31.73,2019-01-08,16:17,Credit card,9,14.2785,299.849,285.57,14.2785,4.7619,5.9
750-57-9686,C,Naypyitaw,Normal,Female,Home and lifestyle,45.38,2019-01-08,13:48,Credit card,4,9.076,190.596,181.52,9.076,4.7619,8.7
257-60-7754,A,Yangon,Normal,Female,Electronic accessories,50.23,2019-01-08,17:12,Cash,4,10.046,210.966,200.92,10.046,4.7619,9.0
490-95-0021,B,Mandalay,Member,Female,Food and beverages,33.21,2019-01-08,14:25,Ewallet,10,16.605,348.705,332.1,16.605,4.7619,6.0
241-96-5076,B,Mandalay,Member,Female,Home and lifestyle,49.1,2019-01-08,12:58,Credit card,2,4.91,103.11,98.2,4.91,4.7619,6.4
442-44-6497,C,Naypyitaw,Member,Male,Home and lifestyle,55.57,2019-01-08,11:42,Credit card,3,8.3355,175.046,166.71,8.3355,4.7619,5.9
631-34-1880,C,Naypyitaw,Member,Male,Food and beverages,24.31,2019-01-08,19:09,Credit card,3,3.6465,76.5765,72.93,3.6465,4.7619,4.3
124-31-1458,A,Yangon,Member,Female,Electronic accessories,79.59,2019-01-08,14:30,Cash,3,11.9385,250.708,238.77,11.9385,4.7619,6.6
840-76-5966,A,Yangon,Member,Male,Sports and travel,12.76,2019-01-08,18:06,Ewallet,2,1.276,26.796,25.52,1.276,4.7619,7.8
387-49-4215,B,Mandalay,Member,Female,Sports and travel,48.5,2019-01-08,12:50,Cash,3,7.275,152.775,145.5,7.275,4.7619,6.7
845-94-6841,C,Naypyitaw,Member,Female,Food and beverages,72.88,2019-01-08,19:38,Cash,9,32.796,688.716,655.92,32.796,4.7619,4.0
484-22-8230,C,Naypyitaw,Member,Female,Fashion accessories,51.89,2019-01-08,20:08,Cash,7,18.1615,381.392,363.23,18.1615,4.7619,4.5
263-10-3913,C,Naypyitaw,Member,Male,Fashion accessories,49.04,2019-01-09,14:20,Credit card,9,22.068,463.428,441.36,22.068,4.7619,8.6
554-42-2417,C,Naypyitaw,Normal,Female,Sports and travel,95.44,2019-01-09,13:45,Cash,10,47.72,1002.12,954.4,47.72,4.7619,5.2
343-75-9322,B,Mandalay,Member,Female,Sports and travel,11.85,2019-01-09,16:34,Cash,8,4.74,99.54,94.8,4.74,4.7619,4.1
370-96-0655,C,Naypyitaw,Normal,Female,Fashion accessories,49.32,2019-01-09,13:46,Ewallet,6,14.796,310.716,295.92,14.796,4.7619,7.1
288-62-1085,A,Yangon,Member,Male,Fashion accessories,38.54,2019-01-09,13:34,Ewallet,5,9.635,202.335,192.7,9.635,4.7619,5.6
189-40-5216,C,Naypyitaw,Normal,Male,Electronic accessories,96.37,2019-01-09,11:40,Cash,7,33.7295,708.32,674.59,33.7295,4.7619,6.0
867-47-1948,C,Naypyitaw,Normal,Female,Home and lifestyle,15.8,2019-01-09,12:07,Cash,10,7.9,165.9,158.0,7.9,4.7619,7.8
305-89-2768,B,Mandalay,Member,Female,Home and lifestyle,21.9,2019-01-09,18:43,Ewallet,3,3.285,68.985,65.7,3.285,4.7619,4.7
226-34-0034,B,Mandalay,Normal,Female,Electronic accessories,13.78,2019-01-10,11:10,Ewallet,4,2.756,57.876,55.12,2.756,4.7619,9.0
640-49-2076,B,Mandalay,Normal,Male,Sports and travel,83.78,2019-01-10,14:49,Cash,8,33.512,703.752,670.24,33.512,4.7619,5.1
665-32-9167,A,Yangon,Member,Female,Health and beauty,36.26,2019-01-10,17:15,Credit card,2,3.626,76.146,72.52,3.626,4.7619,7.2
603-07-0961,C,Naypyitaw,Member,Male,Electronic accessories,74.79,2019-01-10,11:34,Cash,5,18.6975,392.647,373.95,18.6975,4.7619,4.9
577-34-7579,C,Naypyitaw,Member,Male,Food and beverages,50.49,2019-01-10,17:16,Cash,9,22.7205,477.13,454.41,22.7205,4.7619,5.4
887-42-0517,C,Naypyitaw,Normal,Female,Sports and travel,83.14,2019-01-10,10:31,Credit card,7,29.099,611.079,581.98,29.099,4.7619,6.6
744-02-5987,A,Yangon,Member,Male,Home and lifestyle,78.38,2019-01-10,14:16,Ewallet,6,23.514,493.794,470.28,23.514,4.7619,5.8
241-11-2261,B,Mandalay,Normal,Female,Fashion accessories,79.86,2019-01-10,10:33,Credit card,7,27.951,586.971,559.02,27.951,4.7619,5.5
873-51-0671,A,Yangon,Member,Female,Sports and travel,21.98,2019-01-10,16:42,Ewallet,7,7.693,161.553,153.86,7.693,4.7619,5.1
540-11-4336,A,Yangon,Normal,Male,Food and beverages,24.94,2019-01-11,16:49,Credit card,9,11.223,235.683,224.46,11.223,4.7619,5.6
478-06-7835,A,Yangon,Normal,Male,Fashion accessories,89.69,2019-01-11,11:20,Ewallet,1,4.4845,94.1745,89.69,4.4845,4.7619,4.9
592-46-1692,C,Naypyitaw,Member,Female,Food and beverages,36.77,2019-01-11,20:10,Cash,7,12.8695,270.259,257.39,12.8695,4.7619,7.4
732-67-5346,A,Yangon,Normal,Male,Food and beverages,13.79,2019-01-11,19:07,Credit card,5,3.4475,72.3975,68.95,3.4475,4.7619,7.8
406-46-7107,A,Yangon,Normal,Female,Home and lifestyle,96.52,2019-01-11,11:52,Cash,6,28.956,608.076,579.12,28.956,4.7619,4.5
130-67-4723,A,Yangon,Member,Male,Food and beverages,48.5,2019-01-11,13:57,Ewallet,6,14.55,305.55,291.0,14.55,4.7619,9.4
289-15-7034,A,Yangon,Member,Male,Sports and travel,82.33,2019-01-11,10:37,Credit card,4,16.466,345.786,329.32,16.466,4.7619,7.5
746-68-6593,C,Naypyitaw,Member,Female,Sports and travel,87.16,2019-01-11,14:29,Credit card,2,8.716,183.036,174.32,8.716,4.7619,9.7
647-50-1224,A,Yangon,Normal,Female,Fashion accessories,29.42,2019-01-12,16:23,Ewallet,10,14.71,308.91,294.2,14.71,4.7619,8.9
659-36-1684,C,Naypyitaw,Member,Male,Sports and travel,57.12,2019-01-12,12:02,Credit card,7,19.992,419.832,399.84,19.992,4.7619,6.5
848-07-1692,B,Mandalay,Normal,Female,Health and beauty,57.22,2019-01-12,17:13,Ewallet,2,5.722,120.162,114.44,5.722,4.7619,8.3
533-66-5566,B,Mandalay,Normal,Female,Home and lifestyle,51.07,2019-01-12,11:42,Cash,7,17.8745,375.365,357.49,17.8745,4.7619,7.0
296-11-7041,B,Mandalay,Member,Female,Health and beauty,27.07,2019-01-12,20:07,Credit card,1,1.3535,28.4235,27.07,1.3535,4.7619,5.3
751-15-6198,B,Mandalay,Normal,Male,Sports and travel,23.01,2019-01-12,16:45,Ewallet,6,6.903,144.963,138.06,6.903,4.7619,7.9
381-20-0914,A,Yangon,Member,Female,Fashion accessories,20.01,2019-01-12,15:48,Credit card,9,9.0045,189.094,180.09,9.0045,4.7619,5.7
704-48-3927,A,Yangon,Member,Male,Electronic accessories,88.67,2019-01-12,14:50,Ewallet,10,44.335,931.035,886.7,44.335,4.7619,7.3
852-62-7105,B,Mandalay,Normal,Female,Fashion accessories,83.25,2019-01-12,11:25,Credit card,10,41.625,874.125,832.5,41.625,4.7619,4.4
751-41-9720,C,Naypyitaw,Normal,Male,Home and lifestyle,97.5,2019-01-12,16:18,Ewallet,10,48.75,1023.75,975.0,48.75,4.7619,8.0
197-77-7132,B,Mandalay,Member,Male,Electronic accessories,91.56,2019-01-12,18:22,Ewallet,8,36.624,769.104,732.48,36.624,4.7619,6.0
397-25-8725,A,Yangon,Member,Female,Health and beauty,39.62,2019-01-13,17:54,Credit card,9,17.829,374.409,356.58,17.829,4.7619,6.8
460-93-5834,A,Yangon,Normal,Male,Sports and travel,45.58,2019-01-13,10:03,Cash,7,15.953,335.013,319.06,15.953,4.7619,5.0
327-40-9673,B,Mandalay,Member,Male,Sports and travel,72.6,2019-01-13,19:51,Cash,6,21.78,457.38,435.6,21.78,4.7619,6.9
195-06-0432,A,Yangon,Member,Male,Home and lifestyle,81.01,2019-01-13,12:55,Credit card,3,12.1515,255.182,243.03,12.1515,4.7619,9.3
732-94-0499,C,Naypyitaw,Normal,Female,Electronic accessories,41.65,2019-01-13,17:04,Credit card,10,20.825,437.325,416.5,20.825,4.7619,5.4
339-38-9982,B,Mandalay,Member,Male,Fashion accessories,59.86,2019-01-13,14:55,Ewallet,2,5.986,125.706,119.72,5.986,4.7619,6.7
784-08-0310,C,Naypyitaw,Member,Female,Food and beverages,21.04,2019-01-13,13:58,Cash,4,4.208,88.368,84.16,4.208,4.7619,7.6
355-34-6244,B,Mandalay,Normal,Male,Food and beverages,72.39,2019-01-13,19:55,Credit card,2,7.239,152.019,144.78,7.239,4.7619,8.1
556-86-3144,C,Naypyitaw,Member,Female,Fashion accessories,74.29,2019-01-13,19:30,Cash,1,3.7145,78.0045,74.29,3.7145,4.7619,5.0
459-50-7686,A,Yangon,Normal,Female,Electronic accessories,23.46,2019-01-13,19:14,Ewallet,6,7.038,147.798,140.76,7.038,4.7619,6.4
451-73-2711,C,Naypyitaw,Normal,Male,Food and beverages,84.83,2019-01-14,15:20,Ewallet,1,4.2415,89.0715,84.83,4.2415,4.7619,8.8
588-47-8641,A,Yangon,Member,Male,Fashion accessories,56.04,2019-01-14,19:30,Ewallet,10,28.02,588.42,560.4,28.02,4.7619,4.4
426-39-2418,C,Naypyitaw,Normal,Male,Electronic accessories,61.41,2019-01-14,10:02,Cash,7,21.4935,451.363,429.87,21.4935,4.7619,9.8
320-85-2052,B,Mandalay,Normal,Female,Sports and travel,34.81,2019-01-14,10:11,Credit card,1,1.7405,36.5505,34.81,1.7405,4.7619,7.0
868-52-7573,B,Mandalay,Normal,Female,Food and beverages,99.69,2019-01-14,12:09,Cash,5,24.9225,523.372,498.45,24.9225,4.7619,9.9
785-13-7708,B,Mandalay,Normal,Male,Food and beverages,73.06,2019-01-14,19:06,Credit card,7,25.571,536.991,511.42,25.571,4.7619,4.2
559-61-5987,B,Mandalay,Normal,Female,Health and beauty,17.75,2019-01-14,10:38,Cash,1,0.8875,18.6375,17.75,0.8875,4.7619,8.6
592-34-6155,C,Naypyitaw,Normal,Male,Food and beverages,31.77,2019-01-14,14:43,Ewallet,4,6.354,133.434,127.08,6.354,4.7619,6.2
667-23-5919,A,Yangon,Member,Female,Fashion accessories,96.7,2019-01-14,12:52,Ewallet,5,24.175,507.675,483.5,24.175,4.7619,7.0
704-10-4056,C,Naypyitaw,Member,Male,Health and beauty,60.47,2019-01-14,10:55,Credit card,3,9.0705,190.48,181.41,9.0705,4.7619,5.6
359-90-3665,B,Mandalay,Member,Female,Fashion accessories,18.08,2019-01-14,18:03,Credit card,4,3.616,75.936,72.32,3.616,4.7619,9.5
377-79-7592,C,Naypyitaw,Member,Female,Electronic accessories,44.84,2019-01-14,14:00,Credit card,9,20.178,423.738,403.56,20.178,4.7619,7.5
658-66-3967,C,Naypyitaw,Normal,Male,Health and beauty,53.19,2019-01-14,15:42,Ewallet,7,18.6165,390.947,372.33,18.6165,4.7619,5.0
314-23-4520,C,Naypyitaw,Member,Male,Health and beauty,81.23,2019-01-15,20:44,Cash,7,28.4305,597.041,568.61,28.4305,4.7619,9.0
744-16-7898,B,Mandalay,Normal,Female,Home and lifestyle,97.37,2019-01-15,13:48,Credit card,10,48.685,1022.39,973.7,48.685,4.7619,4.9
301-11-9629,A,Yangon,Normal,Female,Sports and travel,19.1,2019-01-15,10:43,Cash,7,6.685,140.385,133.7,6.685,4.7619,9.7
437-58-8131,B,Mandalay,Normal,Female,Fashion accessories,73.52,2019-01-15,13:41,Ewallet,2,7.352,154.392,147.04,7.352,4.7619,4.6
369-82-2676,B,Mandalay,Normal,Male,Electronic accessories,75.66,2019-01-15,18:22,Ewallet,5,18.915,397.215,378.3,18.915,4.7619,7.8
299-46-1805,B,Mandalay,Member,Female,Sports and travel,93.72,2019-01-15,16:19,Cash,6,28.116,590.436,562.32,28.116,4.7619,4.5
272-65-1806,A,Yangon,Normal,Female,Electronic accessories,60.88,2019-01-15,17:17,Ewallet,9,27.396,575.316,547.92,27.396,4.7619,4.7
138-17-5109,A,Yangon,Member,Female,Home and lifestyle,89.21,2019-01-15,15:42,Credit card,9,40.1445,843.034,802.89,40.1445,4.7619,6.5
188-55-0967,B,Mandalay,Member,Male,Health and beauty,66.47,2019-01-15,15:01,Credit card,10,33.235,697.935,664.7,33.235,4.7619,5.0
886-54-6089,A,Yangon,Normal,Female,Home and lifestyle,11.43,2019-01-15,17:24,Cash,6,3.429,72.009,68.58,3.429,4.7619,7.7
450-28-2866,C,Naypyitaw,Member,Male,Food and beverages,17.44,2019-01-15,19:25,Cash,5,4.36,91.56,87.2,4.36,4.7619,8.1
589-02-8023,A,Yangon,Member,Male,Food and beverages,83.77,2019-01-15,10:54,Credit card,2,8.377,175.917,167.54,8.377,4.7619,7.0
660-29-7083,C,Naypyitaw,Normal,Male,Electronic accessories,55.87,2019-01-15,15:01,Cash,10,27.935,586.635,558.7,27.935,4.7619,5.8
648-83-1321,A,Yangon,Member,Male,Home and lifestyle,63.56,2019-01-16,17:59,Cash,10,31.78,667.38,635.6,31.78,4.7619,4.3
234-65-2137,C,Naypyitaw,Normal,Male,Home and lifestyle,95.58,2019-01-16,13:32,Cash,10,47.79,1003.59,955.8,47.79,4.7619,4.8
677-11-0152,C,Naypyitaw,Normal,Female,Food and beverages,93.26,2019-01-16,18:08,Cash,9,41.967,881.307,839.34,41.967,4.7619,8.8
618-34-8551,A,Yangon,Normal,Female,Sports and travel,93.18,2019-01-16,18:41,Credit card,2,9.318,195.678,186.36,9.318,4.7619,8.5
347-72-6115,B,Mandalay,Member,Female,Sports and travel,90.74,2019-01-16,18:03,Credit card,7,31.759,666.939,635.18,31.759,4.7619,6.2
859-71-0933,C,Naypyitaw,Member,Female,Sports and travel,15.49,2019-01-16,15:10,Cash,2,1.549,32.529,30.98,1.549,4.7619,6.3
286-62-6248,B,Mandalay,Normal,Male,Fashion accessories,39.21,2019-01-16,20:03,Credit card,4,7.842,164.682,156.84,7.842,4.7619,9.0
842-29-4695,C,Naypyitaw,Member,Male,Sports and travel,17.14,2019-01-16,12:07,Credit card,7,5.999,125.979,119.98,5.999,4.7619,7.9
372-62-5264,C,Naypyitaw,Normal,Female,Food and beverages,52.6,2019-01-16,14:42,Cash,9,23.67,497.07,473.4,23.67,4.7619,7.6
659-65-8956,B,Mandalay,Member,Male,Fashion accessories,51.36,2019-01-16,15:26,Ewallet,1,2.568,53.928,51.36,2.568,4.7619,5.2
670-79-6321,B,Mandalay,Member,Female,Home and lifestyle,94.59,2019-01-17,15:27,Credit card,7,33.1065,695.237,662.13,33.1065,4.7619,4.9
679-22-6530,B,Mandalay,Normal,Female,Sports and travel,40.62,2019-01-17,10:01,Credit card,2,4.062,85.302,81.24,4.062,4.7619,4.1
698-98-5964,A,Yangon,Normal,Female,Food and beverages,81.21,2019-01-17,13:01,Credit card,10,40.605,852.705,812.1,40.605,4.7619,6.3
600-38-9738,C,Naypyitaw,Member,Male,Sports and travel,71.92,2019-01-17,15:05,Credit card,5,17.98,377.58,359.6,17.98,4.7619,4.3
101-81-4070,C,Naypyitaw,Member,Female,Health and beauty,62.82,2019-01-17,12:36,Ewallet,2,6.282,131.922,125.64,6.282,4.7619,4.9
349-97-8902,B,Mandalay,Member,Male,Food and beverages,57.89,2019-01-17,10:37,Ewallet,2,5.789,121.569,115.78,5.789,4.7619,8.9
445-30-9252,A,Yangon,Normal,Male,Sports and travel,25.7,2019-01-17,17:59,Ewallet,3,3.855,80.955,77.1,3.855,4.7619,6.1
497-37-6538,A,Yangon,Normal,Male,Sports and travel,58.91,2019-01-17,15:15,Ewallet,7,20.6185,432.988,412.37,20.6185,4.7619,9.7
746-54-5508,A,Yangon,Normal,Male,Home and lifestyle,21.52,2019-01-17,12:48,Credit card,6,6.456,135.576,129.12,6.456,4.7619,9.4
200-16-5952,C,Naypyitaw,Member,Male,Food and beverages,65.65,2019-01-17,16:46,Cash,2,6.565,137.865,131.3,6.565,4.7619,6.0
280-35-5823,B,Mandalay,Member,Female,Home and lifestyle,86.72,2019-01-17,18:45,Ewallet,1,4.336,91.056,86.72,4.336,4.7619,7.9
166-19-2553,A,Yangon,Member,Male,Sports and travel,89.06,2019-01-18,17:26,Cash,6,26.718,561.078,534.36,26.718,4.7619,9.9
678-79-0726,C,Naypyitaw,Member,Female,Sports and travel,90.63,2019-01-18,15:28,Cash,9,40.7835,856.453,815.67,40.7835,4.7619,5.1
622-20-1945,C,Naypyitaw,Normal,Female,Health and beauty,39.42,2019-01-18,15:08,Cash,1,1.971,41.391,39.42,1.971,4.7619,8.4
562-12-5430,A,Yangon,Member,Female,Fashion accessories,88.15,2019-01-18,10:11,Ewallet,3,13.2225,277.672,264.45,13.2225,4.7619,7.9
821-14-9046,B,Mandalay,Member,Female,Fashion accessories,17.48,2019-01-18,15:04,Credit card,6,5.244,110.124,104.88,5.244,4.7619,6.1
