invoice_id,cogs,gross_margin_percentage,gross_income,rating
450-28-2866,87.2,4.761904762,4.36,8.1
589-02-8023,167.54,4.761904762,8.377,7.0
660-29-7083,558.7,4.761904762,27.935,5.8
648-83-1321,635.6,4.761904762,31.78,4.3
234-65-2137,955.8,4.761904762,47.79,4.8
677-11-0152,839.34,4.761904762,41.967,8.8
618-34-8551,186.36,4.761904762,9.318,8.5
347-72-6115,635.18,4.761904762,31.759,6.2
859-71-0933,30.98,4.761904762,1.549,6.3
286-62-6248,156.84,4.761904762,7.842,9.0
842-29-4695,119.98,4.761904762,5.999,7.9
372-62-5264,473.4,4.761904762,23.67,7.6
659-65-8956,51.36,4.761904762,2.568,5.2
670-79-6321,662.13,4.761904762,33.1065,4.9
679-22-6530,81.24,4.761904762,4.062,4.1
698-98-5964,812.1,4.761904762,40.605,6.3
600-38-9738,359.6,4.761904762,17.98,4.3
101-81-4070,125.64,4.761904762,6.282,4.9
349-97-8902,115.78,4.761904762,5.789,8.9
445-30-9252,77.1,4.761904762,3.855,6.1
497-37-6538,412.37,4.761904762,20.6185,9.7
746-54-5508,129.12,4.761904762,6.456,9.4
200-16-5952,131.3,4.761904762,6.565,6.0
280-35-5823,86.72,4.761904762,4.336,7.9
166-19-2553,534.36,4.761904762,26.718,9.9
678-79-0726,815.67,4.761904762,40.7835,5.1
622-20-1945,39.42,4.761904762,1.971,8.4
562-12-5430,264.45,4.761904762,13.2225,7.9
821-14-9046,104.88,4.761904762,5.244,6.1
700-81-1757,131.55,4.761904762,6.5775,8.8
706-36-6154,174.24,4.761904762,8.712,8.7
414-12-7047,158.32,4.761904762,7.916,8.7
781-84-8059,425.18,4.761904762,21.259,5.0
882-40-4577,269.04,4.761904762,13.452,8.0
125-45-2293,594.6,4.761904762,29.73,4.2
809-69-9497,456.8,4.761904762,22.84,5.7
832-51-6761,271.04,4.761904762,13.552,9.6
149-61-1929,641.9,4.761904762,32.095,6.7
608-27-6295,317.34,4.761904762,15.867,9.8
645-44-1170,522.63,4.761904762,26.1315,4.3
375-72-3056,189.18,4.761904762,9.459,7.0
761-49-0439,96.8,4.761904762,4.84,8.6
796-32-9050,307.68,4.761904762,15.384,6.5
284-54-4231,80.93,4.761904762,4.0465,9.0
151-27-8496,224.52,4.761904762,11.226,8.6
894-41-5205,345.44,4.761904762,17.272,8.3
482-17-1179,35.82,4.761904762,1.791,8.1
728-47-9078,238.36,4.761904762,11.918,9.8
779-06-0012,88.61,4.761904762,4.4305,7.7
458-10-8612,448.56,4.761904762,22.428,7.6
356-44-8813,112.44,4.761904762,5.622,7.7
257-73-1380,331.72,4.761904762,16.586,9.6
760-27-5490,124.96,4.761904762,6.248,9.1
410-67-1709,511.04,4.761904762,25.552,9.9
817-48-8732,723.5,4.761904762,36.175,5.4
725-96-3778,714.0,4.761904762,35.7,4.7
787-87-2010,222.0,4.761904762,11.1,6.6
378-24-2715,106.88,4.761904762,5.344,4.1
645-78-8093,186.28,4.761904762,9.314,4.1
329-62-1586,164.01,4.761904762,8.2005,8.6
269-10-8440,372.19,4.761904762,18.6095,8.9
870-72-4431,595.14,4.761904762,29.757,5.5
239-10-7476,467.7,4.761904762,23.385,8.0
316-68-6352,72.72,4.761904762,3.636,7.1
401-18-8016,98.13,4.761904762,4.9065,8.9
162-65-8559,68.98,4.761904762,3.449,4.8
462-67-9126,439.32,4.761904762,21.966,7.2
460-35-4390,92.04,4.761904762,4.602,9.1
287-21-9091,672.03,4.761904762,33.6015,9.4
521-18-7827,196.95,4.761904762,9.8475,8.7
563-47-4072,334.86,4.761904762,16.743,9.9
186-09-3669,81.51,4.761904762,4.0755,9.2
756-01-7507,101.9,4.761904762,5.095,6.0
120-54-2248,144.3,4.761904762,7.215,8.0
316-66-3011,428.67,4.761904762,21.4335,5.0
148-41-7930,699.72,4.761904762,34.986,6.1
790-38-4466,54.95,4.761904762,2.7475,9.3
213-32-1216,396.36,4.761904762,19.818,7.3
160-22-2687,479.75,4.761904762,23.9875,8.8
318-12-0304,30.61,4.761904762,1.5305,5.2
740-22-2500,252.15,4.761904762,12.6075,9.8
828-46-6863,591.18,4.761904762,29.559,4.0
565-80-5980,189.52,4.761904762,9.476,7.1
731-81-9469,898.0,4.761904762,44.9,5.4
480-63-2856,154.0,4.761904762,7.7,6.6
434-83-9547,307.76,4.761904762,15.388,7.7
809-46-1866,232.6,4.761904762,11.63,8.4
767-05-1286,502.62,4.761904762,25.131,5.4
604-70-6476,89.7,4.761904762,4.485,6.8
219-61-4139,83.08,4.761904762,4.154,6.4
477-59-2456,318.08,4.761904762,15.904,9.2
435-13-4908,693.44,4.761904762,34.672,7.2
510-79-0415,138.48,4.761904762,6.924,4.9
235-06-8510,257.16,4.761904762,12.858,5.1
139-20-0155,403.0,4.761904762,20.15,7.0
232-11-3025,787.7,4.761904762,39.385,6.4
438-23-1242,531.16,4.761904762,26.558,8.9
775-72-1988,366.4,4.761904762,18.32,8.4
602-16-6955,766.0,4.761904762,38.3,6.0
443-60-9639,60.87,4.761904762,3.0435,5.5
789-23-8625,279.66,4.761904762,13.983,7.2
778-34-2523,388.96,4.761904762,19.448,5.0
237-44-6163,84.48,4.761904762,4.224,7.6
726-27-2396,387.5,4.761904762,19.375,4.3
261-12-8671,121.92,4.761904762,6.096,4.9
283-79-9594,339.57,4.761904762,16.9785,5.2
730-61-8757,204.52,4.761904762,10.226,4.0
340-21-9136,160.2,4.761904762,8.01,9.7
307-83-9164,240.04,4.761904762,12.002,4.5
569-71-4390,43.74,4.761904762,2.187,6.9
268-03-6164,96.11,4.761904762,4.8055,7.8
778-71-5554,15.43,4.761904762,0.7715,6.1
145-94-9061,441.8,4.761904762,22.09,9.6
843-73-4724,74.1,4.761904762,3.705,9.2
191-10-6171,277.34,4.761904762,13.867,7.5
288-38-3758,254.61,4.761904762,12.7305,7.4
280-17-4359,905.0,4.761904762,45.25,8.1
394-55-6384,631.71,4.761904762,31.5855,6.7
824-88-3614,274.48,4.761904762,13.724,5.7
888-02-0338,236.07,4.761904762,11.8035,5.9
856-66-2701,159.9,4.761904762,7.995,7.5
881-41-7302,64.99,4.761904762,3.2495,4.5
896-34-0956,21.32,4.761904762,1.066,5.9
308-39-1707,12.09,4.761904762,0.6045,8.2
135-13-8269,157.76,4.761904762,7.888,9.1
539-21-7227,257.7,4.761904762,12.885,4.2
794-42-3736,66.66,4.761904762,3.333,6.4
847-38-7188,290.04,4.761904762,14.502,6.4
834-61-8124,361.83,4.761904762,18.0915,5.5
836-82-5858,624.33,4.761904762,31.2165,4.0
641-43-2399,102.2,4.761904762,5.11,5.7
258-69-7810,184.25,4.761904762,9.2125,9.2
452-04-8808,609.56,4.761904762,30.478,5.5
289-65-5721,162.74,4.761904762,8.137,6.5
316-55-4634,400.25,4.761904762,20.0125,9.4
173-82-9529,379.5,4.761904762,18.975,9.7
225-32-0908,448.6,4.761904762,22.43,8.2
176-78-1170,101.43,4.761904762,5.0715,7.3
394-41-0748,486.63,4.761904762,24.3315,9.5
123-19-1176,465.76,4.761904762,23.288,8.4
325-90-8763,465.7,4.761904762,23.285,7.6
869-11-3082,384.64,4.761904762,19.232,8.4
862-59-8517,541.44,4.761904762,27.072,6.2
585-90-0249,73.26,4.761904762,3.663,9.7
870-54-3162,161.25,4.761904762,8.0625,9.0
624-01-8356,490.1,4.761904762,24.505,4.2
595-27-4851,379.96,4.761904762,18.998,9.3
534-01-4457,490.26,4.761904762,24.513,8.0
788-07-8452,169.68,4.761904762,8.484,9.4
613-59-9758,143.6,4.761904762,7.18,5.4
633-91-1052,24.06,4.761904762,1.203,5.1
620-02-2046,138.8,4.761904762,6.94,9.0
865-41-9075,80.71,4.761904762,4.0355,8.1
243-47-2663,112.62,4.761904762,5.631,5.5
372-26-1506,119.1,4.761904762,5.955,5.4
149-71-6266,702.63,4.761904762,35.1315,4.5
400-89-4171,647.76,4.761904762,32.388,9.3
430-53-4718,602.96,4.761904762,30.148,8.4
390-80-5128,19.15,4.761904762,0.9575,9.5
699-88-1972,793.28,4.761904762,39.664,4.2
342-65-4817,260.4,4.761904762,13.02,9.9
593-65-1552,279.24,4.761904762,13.962,5.9
726-29-6793,193.44,4.761904762,9.672,9.8
544-55-9589,214.3,4.761904762,10.715,6.2
211-30-9270,87.05,4.761904762,4.3525,4.9
222-42-0244,648.99,4.761904762,32.4495,7.7
569-76-2760,88.04,4.761904762,4.402,6.6
110-48-7033,130.48,4.761904762,6.524,9.0
233-67-5758,40.35,4.761904762,2.0175,6.2
382-25-8917,252.48,4.761904762,12.624,8.9
137-63-5492,587.6,4.761904762,29.38,9.0
343-61-3544,266.7,4.761904762,13.335,8.6
746-94-0204,749.16,4.761904762,37.458,7.4
862-17-9201,504.3,4.761904762,25.215,7.7
606-80-4905,114.9,4.761904762,5.745,6.8
816-72-8853,139.65,4.761904762,6.9825,5.9
800-09-8606,436.85,4.761904762,21.8425,6.6
575-67-1508,38.6,4.761904762,1.93,6.7
134-54-4720,339.36,4.761904762,16.968,5.7
862-29-5914,22.38,4.761904762,1.119,8.6
182-69-8360,94.6,4.761904762,4.73,4.0
804-38-3935,281.34,4.761904762,14.067,5.9
283-26-5248,985.2,4.761904762,49.26,4.5
556-72-8512,22.96,4.761904762,1.148,4.3
416-13-5917,485.15,4.761904762,24.2575,9.3
664-14-2882,52.65,4.761904762,2.6325,5.8
423-80-0988,152.8,4.761904762,7.64,6.5
189-55-2313,621.8,4.761904762,31.09,6.0
583-72-1480,148.24,4.761904762,7.412,9.7
239-36-3640,272.1,4.761904762,13.605,6.1
735-32-9839,789.6,4.761904762,39.48,8.5
226-71-3580,213.75,4.761904762,10.6875,9.5
286-75-7818,138.16,4.761904762,6.908,6.9
366-93-0948,66.35,4.761904762,3.3175,9.7
525-09-8450,721.3,4.761904762,36.065,4.2
834-45-5519,172.0,4.761904762,8.6,7.6
525-88-7307,75.82,4.761904762,3.791,5.8
187-83-5490,83.08,4.761904762,4.154,4.7
532-59-7201,479.58,4.761904762,23.979,5.5
522-57-8364,410.72,4.761904762,20.536,7.6
457-94-0464,790.83,4.761904762,39.5415,5.6
551-21-3069,207.63,4.761904762,10.3815,4.9
237-01-6122,727.11,4.761904762,36.3555,9.5
358-88-9262,524.88,4.761904762,26.244,5.1
105-31-1824,486.64,4.761904762,24.332,8.5
870-76-1733,71.15,4.761904762,3.5575,4.4
443-82-0585,310.72,4.761904762,15.536,8.4
541-08-3113,527.76,4.761904762,26.388,8.4
418-05-0656,178.92,4.761904762,8.946,7.1
405-31-3305,431.3,4.761904762,21.565,5.5
717-96-4189,212.94,4.761904762,10.647,4.1
390-17-5806,38.42,4.761904762,1.921,8.6
201-86-2184,183.82,4.761904762,9.191,9.9
756-93-1854,166.7,4.761904762,8.335,9.5
420-18-8989,412.16,4.761904762,20.608,9.6
642-32-2990,109.6,4.761904762,5.48,6.0
845-51-0542,418.95,4.761904762,20.9475,6.4
376-56-3573,381.68,4.761904762,19.084,6.4
382-03-4532,18.33,4.761904762,0.9165,4.3
554-53-8700,112.22,4.761904762,5.611,6.3
376-02-8238,750.96,4.761904762,37.548,8.3
676-10-2200,53.78,4.761904762,2.689,4.7
443-59-0061,674.5,4.761904762,33.725,4.2
326-78-5178,639.8,4.761904762,31.99,9.5
585-86-8361,136.4,4.761904762,6.82,8.6
277-63-2961,73.97,4.761904762,3.6985,5.4
322-02-2271,128.91,4.761904762,6.4455,9.3
742-04-5161,727.8,4.761904762,36.39,7.3
347-34-2234,495.63,4.761904762,24.7815,10.0
718-57-9773,493.3,4.761904762,24.665,9.4
190-59-3964,235.8,4.761904762,11.79,6.0
326-71-2155,295.8,4.761904762,14.79,6.1
639-76-1242,202.6,4.761904762,10.13,4.5
430-60-3493,664.16,4.761904762,33.208,4.2
566-71-1091,385.1,4.761904762,19.255,5.5
151-33-7434,67.77,4.761904762,3.3885,6.5
745-71-3520,176.54,4.761904762,8.827,8.2
627-95-3243,699.12,4.761904762,34.956,9.8
518-17-2983,194.52,4.761904762,9.726,7.6
434-35-9162,93.36,4.761904762,4.668,7.4
404-91-5964,522.06,4.761904762,26.103,9.0
695-28-6250,215.3,4.761904762,10.765,7.7
268-20-3585,124.65,4.761904762,6.2325,6.0
198-66-9832,144.08,4.761904762,7.204,9.5
441-94-7118,71.95,4.761904762,3.5975,7.3
236-86-3015,13.98,4.761904762,0.699,9.8
338-65-2210,686.0,4.761904762,34.3,9.1
324-92-3863,41.78,4.761904762,2.089,9.8
181-94-6432,138.66,4.761904762,6.933,9.7
307-04-2070,30.62,4.761904762,1.531,4.1
325-89-4209,87.9,4.761904762,4.395,6.7
210-67-5886,294.63,4.761904762,14.7315,7.8
880-35-0356,225.6,4.761904762,11.28,4.8
479-26-8945,32.98,4.761904762,1.649,4.6
729-09-9681,155.46,4.761904762,7.773,8.7
409-49-6995,283.62,4.761904762,14.181,8.8
374-17-3652,385.38,4.761904762,19.269,8.9
210-57-1719,524.16,4.761904762,26.208,9.7
811-35-1094,302.7,4.761904762,15.135,8.9
149-14-0304,228.0,4.761904762,11.4,6.6
351-62-0822,57.92,4.761904762,2.896,4.5
471-06-8611,52.42,4.761904762,2.621,6.3
727-46-3608,180.09,4.761904762,9.0045,4.1
595-86-2894,387.92,4.761904762,19.396,9.4
258-92-7466,178.4,4.761904762,8.92,6.6
875-46-5808,259.0,4.761904762,12.95,8.7
609-81-8548,224.64,4.761904762,11.232,5.9
857-67-9057,229.5,4.761904762,11.475,8.2
373-88-1424,179.05,4.761904762,8.9525,7.9
183-56-6882,397.68,4.761904762,19.884,7.5
512-91-0811,89.75,4.761904762,4.4875,6.6
560-49-6611,45.58,4.761904762,2.279,9.8
430-02-3888,276.12,4.761904762,13.806,7.1
641-96-3695,260.76,4.761904762,13.038,8.5
214-17-6927,98.88,4.761904762,4.944,9.9
114-35-5271,463.28,4.761904762,23.164,8.1
374-38-5555,318.55,4.761904762,15.9275,8.5
453-33-6436,744.96,4.761904762,37.248,6.8
648-94-3045,589.5,4.761904762,29.475,8.1
635-40-6220,716.8,4.761904762,35.84,6.6
380-94-4661,263.76,4.761904762,13.188,6.9
784-21-9238,10.17,4.761904762,0.5085,5.9
744-82-9138,172.26,4.761904762,8.613,8.2
810-60-6344,326.88,4.761904762,16.344,6.5
827-44-5872,543.6,4.761904762,27.18,6.1
583-41-4548,116.69,4.761904762,5.8345,7.4
868-81-1752,198.18,4.761904762,9.909,6.8
626-43-7888,483.28,4.761904762,24.164,9.6
252-56-2699,431.9,4.761904762,21.595,8.2
421-95-9805,28.96,4.761904762,1.448,6.2
533-33-5337,793.9,4.761904762,39.695,6.2
756-49-0168,19.7,4.761904762,0.985,9.5
815-04-6282,324.85,4.761904762,16.2425,6.5
181-82-6255,98.22,4.761904762,4.911,7.0
830-58-2383,127.0,4.761904762,6.35,8.6
440-59-5691,260.05,4.761904762,13.0025,7.7
549-84-7482,812.52,4.761904762,40.626,7.2
373-73-7910,604.17,4.761904762,30.2085,5.3
649-29-6775,33.52,4.761904762,1.676,6.7
687-47-8271,989.8,4.761904762,49.49,8.7
732-04-5373,185.88,4.761904762,9.294,7.0
271-88-8734,972.1,4.761904762,48.605,8.7
354-25-5821,414.72,4.761904762,20.736,5.6
727-02-1313,31.84,4.761904762,1.592,7.7
450-42-3339,846.1,4.761904762,42.305,8.8
747-58-7183,171.81,4.761904762,8.5905,6.5
746-19-0921,21.58,4.761904762,1.079,7.2
871-39-9221,74.7,4.761904762,3.735,4.1
428-83-5800,63.24,4.761904762,3.162,7.3
602-80-9671,95.7,4.761904762,4.785,5.1
146-09-5432,315.36,4.761904762,15.768,4.6
200-40-6154,395.46,4.761904762,19.773,5.7
130-98-8941,449.82,4.761904762,22.491,5.7
866-05-7563,244.2,4.761904762,12.21,4.8
447-15-7839,222.4,4.761904762,11.12,4.2
509-10-0516,183.88,4.761904762,9.194,5.1
669-54-1719,113.58,4.761904762,5.679,8.1
559-98-9873,375.55,4.761904762,18.7775,5.2
162-48-8011,222.95,4.761904762,11.1475,8.5
196-01-2849,513.66,4.761904762,25.683,9.5
838-78-4295,66.94,4.761904762,3.347,6.7
400-60-7251,74.07,4.761904762,3.7035,9.9
378-07-7001,144.27,4.761904762,7.2135,7.8
695-51-0018,139.36,4.761904762,6.968,7.4
685-64-1609,301.4,4.761904762,15.07,9.2
227-07-4446,781.3,4.761904762,39.065,4.4
448-34-8700,258.37,4.761904762,12.9185,6.7
418-02-5978,756.81,4.761904762,37.8405,8.0
401-09-4232,433.45,4.761904762,21.6725,9.4
796-12-2025,621.2,4.761904762,31.06,5.9
531-56-4728,240.24,4.761904762,12.012,5.4
866-99-7614,892.0,4.761904762,44.6,4.4
284-34-9626,231.12,4.761904762,11.556,7.2
534-53-3526,379.04,4.761904762,18.952,7.8
842-40-8179,772.0,4.761904762,38.6,5.6
365-64-0515,234.75,4.761904762,11.7375,7.1
549-03-9315,758.96,4.761904762,37.948,8.7
287-83-1405,152.58,4.761904762,7.629,7.0
373-14-0504,143.26,4.761904762,7.163,8.8
528-87-5606,39.48,4.761904762,1.974,6.5
641-51-2661,871.0,4.761904762,43.55,9.9
885-56-0389,52.35,4.761904762,2.6175,4.0
305-18-3552,603.8,4.761904762,30.19,6.0
173-50-1108,80.72,4.761904762,4.036,5.0
139-52-2867,157.57,4.761904762,7.8785,4.8
151-16-1484,129.0,4.761904762,6.45,6.5
339-18-7061,185.96,4.761904762,9.298,8.0
563-36-9814,76.82,4.761904762,3.841,7.2
549-23-9016,29.74,4.761904762,1.487,8.9
388-76-2555,82.14,4.761904762,4.107,6.3
767-54-1907,147.8,4.761904762,7.39,6.9
174-36-3675,198.74,4.761904762,9.937,5.2
150-89-8043,133.95,4.761904762,6.6975,6.2
109-86-4363,420.56,4.761904762,21.028,4.5
235-46-8343,276.6,4.761904762,13.83,8.9
638-60-7125,796.48,4.761904762,39.824,5.2
853-23-2453,302.96,4.761904762,15.148,7.6
545-07-8534,116.64,4.761904762,5.832,6.0
528-14-9470,91.3,4.761904762,4.565,9.2
556-41-6224,269.12,4.761904762,13.456,9.3
541-89-9860,241.44,4.761904762,12.072,8.1
233-34-0817,98.84,4.761904762,4.942,8.4
710-46-4433,696.6,4.761904762,34.83,4.5
246-11-3901,328.0,4.761904762,16.4,6.2
305-03-2383,201.3,4.761904762,10.065,7.5
860-79-0874,993.0,4.761904762,49.65,6.6
136-08-6195,559.68,4.761904762,27.984,6.4
431-66-2305,794.25,4.761904762,39.7125,7.6
497-36-0989,155.82,4.761904762,7.791,7.9
152-68-2907,156.6,4.761904762,7.83,9.5
321-49-7382,88.31,4.761904762,4.4155,5.2
234-36-2483,345.54,4.761904762,17.277,5.1
873-95-4984,538.3,4.761904762,26.915,7.7
227-78-1148,509.88,4.761904762,25.494,8.4
400-80-4065,274.2,4.761904762,13.71,9.2
394-43-4238,88.85,4.761904762,4.4425,5.4
285-68-5083,74.22,4.761904762,3.711,10.0
372-94-8041,91.56,4.761904762,4.578,9.8
873-14-6353,173.74,4.761904762,8.687,7.1
273-84-2164,60.25,4.761904762,3.0125,5.5
133-77-3154,240.72,4.761904762,12.036,9.4
241-72-9525,519.1,4.761904762,25.955,8.2
598-06-7312,91.35,4.761904762,4.5675,6.8
587-03-7455,684.53,4.761904762,34.2265,4.9
895-03-6665,328.59,4.761904762,16.4295,4.2
408-66-6712,286.26,4.761904762,14.313,4.4
420-11-4919,356.95,4.761904762,17.8475,5.5
803-17-8013,710.32,4.761904762,35.516,4.1
788-21-5741,136.14,4.761904762,6.807,7.2
636-48-8204,172.8,4.761904762,8.64,9.9
389-25-3394,59.05,4.761904762,2.9525,9.4
827-77-7633,882.81,4.761904762,44.1405,9.3
612-36-5536,647.68,4.761904762,32.384,7.4
131-70-8179,276.27,4.761904762,13.8135,4.2
590-83-4591,524.7,4.761904762,26.235,8.8
201-63-8275,475.93,4.761904762,23.7965,5.7
123-35-4896,419.94,4.761904762,20.997,5.3
785-96-0615,285.92,4.761904762,14.296,4.9
634-97-8956,98.7,4.761904762,4.935,9.1
597-78-7908,270.66,4.761904762,13.533,6.2
354-39-5160,206.52,4.761904762,10.326,9.8
