invoice_id,quantity,tax_5_percent,total,date,time,payment
846-10-0341,7,14.8995,312.8895,2019-01-06,2023-02-22 11:51:00,Cash
852-82-2749,4,12.918,271.278,2019-01-06,2023-02-22 13:35:00,Ewallet
232-16-2483,1,3.406,71.526,2019-01-07,2023-02-22 12:28:00,Ewallet
390-31-6381,3,4.083,85.743,2019-01-07,2023-02-22 12:37:00,Cash
541-48-8554,9,27.4275,575.9775,2019-01-07,2023-02-22 12:08:00,Credit card
889-04-9723,4,17.828,374.388,2019-01-07,2023-02-22 12:20:00,Credit card
566-19-5475,7,16.7895,352.5795,2019-01-07,2023-02-22 20:52:00,Cash
526-86-8552,10,10.91,229.11,2019-01-07,2023-02-22 17:36:00,Cash
109-28-2512,6,29.283,614.943,2019-01-07,2023-02-22 15:01:00,Ewallet
126-54-1082,9,9.693,203.553,2019-01-07,2023-02-22 11:44:00,Credit card
799-71-1548,4,15.544,326.424,2019-01-07,2023-02-22 16:11:00,Credit card
674-15-9296,5,9.285,194.985,2019-01-08,2023-02-22 13:05:00,Ewallet
192-98-7397,1,0.639,13.419,2019-01-08,2023-02-22 14:11:00,Ewallet
457-13-1708,10,32.615,684.915,2019-01-08,2023-02-22 19:07:00,Credit card
767-97-4650,2,6.483,136.143,2019-01-08,2023-02-22 11:59:00,Credit card
663-86-9076,8,27.416,575.736,2019-01-08,2023-02-22 15:57:00,Ewallet
571-94-0759,10,37.3,783.3,2019-01-08,2023-02-22 20:55:00,Cash
189-08-9157,9,14.2785,299.8485,2019-01-08,2023-02-22 16:17:00,Credit card
750-57-9686,4,9.076,190.596,2019-01-08,2023-02-22 13:48:00,Credit card
257-60-7754,4,10.046,210.966,2019-01-08,2023-02-22 17:12:00,Cash
490-95-0021,10,16.605,348.705,2019-01-08,2023-02-22 14:25:00,Ewallet
241-96-5076,2,4.91,103.11,2019-01-08,2023-02-22 12:58:00,Credit card
442-44-6497,3,8.3355,175.0455,2019-01-08,2023-02-22 11:42:00,Credit card
631-34-1880,3,3.6465,76.5765,2019-01-08,2023-02-22 19:09:00,Credit card
124-31-1458,3,11.9385,250.7085,2019-01-08,2023-02-22 14:30:00,Cash
840-76-5966,2,1.276,26.796,2019-01-08,2023-02-22 18:06:00,Ewallet
387-49-4215,3,7.275,152.775,2019-01-08,2023-02-22 12:50:00,Cash
845-94-6841,9,32.796,688.716,2019-01-08,2023-02-22 19:38:00,Cash
484-22-8230,7,18.1615,381.3915,2019-01-08,2023-02-22 20:08:00,Cash
263-10-3913,9,22.068,463.428,2019-01-09,2023-02-22 14:20:00,Credit card
554-42-2417,10,47.72,1002.12,2019-01-09,2023-02-22 13:45:00,Cash
343-75-9322,8,4.74,99.54,2019-01-09,2023-02-22 16:34:00,Cash
370-96-0655,6,14.796,310.716,2019-01-09,2023-02-22 13:46:00,Ewallet
288-62-1085,5,9.635,202.335,2019-01-09,2023-02-22 13:34:00,Ewallet
189-40-5216,7,33.7295,708.3195,2019-01-09,2023-02-22 11:40:00,Cash
867-47-1948,10,7.9,165.9,2019-01-09,2023-02-22 12:07:00,Cash
305-89-2768,3,3.285,68.985,2019-01-09,2023-02-22 18:43:00,Ewallet
226-34-0034,4,2.756,57.876,2019-01-10,2023-02-22 11:10:00,Ewallet
640-49-2076,8,33.512,703.752,2019-01-10,2023-02-22 14:49:00,Cash
665-32-9167,2,3.626,76.146,2019-01-10,2023-02-22 17:15:00,Credit card
603-07-0961,5,18.6975,392.6475,2019-01-10,2023-02-22 11:34:00,Cash
577-34-7579,9,22.7205,477.1305,2019-01-10,2023-02-22 17:16:00,Cash
887-42-0517,7,29.099,611.079,2019-01-10,2023-02-22 10:31:00,Credit card
744-02-5987,6,23.514,493.794,2019-01-10,2023-02-22 14:16:00,Ewallet
241-11-2261,7,27.951,586.971,2019-01-10,2023-02-22 10:33:00,Credit card
873-51-0671,7,7.693,161.553,2019-01-10,2023-02-22 16:42:00,Ewallet
540-11-4336,9,11.223,235.683,2019-01-11,2023-02-22 16:49:00,Credit card
478-06-7835,1,4.4845,94.1745,2019-01-11,2023-02-22 11:20:00,Ewallet
592-46-1692,7,12.8695,270.2595,2019-01-11,2023-02-22 20:10:00,Cash
732-67-5346,5,3.4475,72.3975,2019-01-11,2023-02-22 19:07:00,Credit card
406-46-7107,6,28.956,608.076,2019-01-11,2023-02-22 11:52:00,Cash
130-67-4723,6,14.55,305.55,2019-01-11,2023-02-22 13:57:00,Ewallet
289-15-7034,4,16.466,345.786,2019-01-11,2023-02-22 10:37:00,Credit card
746-68-6593,2,8.716,183.036,2019-01-11,2023-02-22 14:29:00,Credit card
647-50-1224,10,14.71,308.91,2019-01-12,2023-02-22 16:23:00,Ewallet
659-36-1684,7,19.992,419.832,2019-01-12,2023-02-22 12:02:00,Credit card
848-07-1692,2,5.722,120.162,2019-01-12,2023-02-22 17:13:00,Ewallet
533-66-5566,7,17.8745,375.3645,2019-01-12,2023-02-22 11:42:00,Cash
296-11-7041,1,1.3535,28.4235,2019-01-12,2023-02-22 20:07:00,Credit card
751-15-6198,6,6.903,144.963,2019-01-12,2023-02-22 16:45:00,Ewallet
381-20-0914,9,9.0045,189.0945,2019-01-12,2023-02-22 15:48:00,Credit card
704-48-3927,10,44.335,931.035,2019-01-12,2023-02-22 14:50:00,Ewallet
852-62-7105,10,41.625,874.125,2019-01-12,2023-02-22 11:25:00,Credit card
751-41-9720,10,48.75,1023.75,2019-01-12,2023-02-22 16:18:00,Ewallet
197-77-7132,8,36.624,769.104,2019-01-12,2023-02-22 18:22:00,Ewallet
397-25-8725,9,17.829,374.409,2019-01-13,2023-02-22 17:54:00,Credit card
460-93-5834,7,15.953,335.013,2019-01-13,2023-02-22 10:03:00,Cash
327-40-9673,6,21.78,457.38,2019-01-13,2023-02-22 19:51:00,Cash
195-06-0432,3,12.1515,255.1815,2019-01-13,2023-02-22 12:55:00,Credit card
732-94-0499,10,20.825,437.325,2019-01-13,2023-02-22 17:04:00,Credit card
339-38-9982,2,5.986,125.706,2019-01-13,2023-02-22 14:55:00,Ewallet
784-08-0310,4,4.208,88.368,2019-01-13,2023-02-22 13:58:00,Cash
355-34-6244,2,7.239,152.019,2019-01-13,2023-02-22 19:55:00,Credit card
556-86-3144,1,3.7145,78.0045,2019-01-13,2023-02-22 19:30:00,Cash
459-50-7686,6,7.038,147.798,2019-01-13,2023-02-22 19:14:00,Ewallet
451-73-2711,1,4.2415,89.0715,2019-01-14,2023-02-22 15:20:00,Ewallet
588-47-8641,10,28.02,588.42,2019-01-14,2023-02-22 19:30:00,Ewallet
426-39-2418,7,21.4935,451.3635,2019-01-14,2023-02-22 10:02:00,Cash
320-85-2052,1,1.7405,36.5505,2019-01-14,2023-02-22 10:11:00,Credit card
868-52-7573,5,24.9225,523.3725,2019-01-14,2023-02-22 12:09:00,Cash
785-13-7708,7,25.571,536.991,2019-01-14,2023-02-22 19:06:00,Credit card
559-61-5987,1,0.8875,18.6375,2019-01-14,2023-02-22 10:38:00,Cash
592-34-6155,4,6.354,133.434,2019-01-14,2023-02-22 14:43:00,Ewallet
667-23-5919,5,24.175,507.675,2019-01-14,2023-02-22 12:52:00,Ewallet
704-10-4056,3,9.0705,190.4805,2019-01-14,2023-02-22 10:55:00,Credit card
359-90-3665,4,3.616,75.936,2019-01-14,2023-02-22 18:03:00,Credit card
377-79-7592,9,20.178,423.738,2019-01-14,2023-02-22 14:00:00,Credit card
658-66-3967,7,18.6165,390.9465,2019-01-14,2023-02-22 15:42:00,Ewallet
314-23-4520,7,28.4305,597.0405,2019-01-15,2023-02-22 20:44:00,Cash
744-16-7898,10,48.685,1022.385,2019-01-15,2023-02-22 13:48:00,Credit card
301-11-9629,7,6.685,140.385,2019-01-15,2023-02-22 10:43:00,Cash
437-58-8131,2,7.352,154.392,2019-01-15,2023-02-22 13:41:00,Ewallet
369-82-2676,5,18.915,397.215,2019-01-15,2023-02-22 18:22:00,Ewallet
299-46-1805,6,28.116,590.436,2019-01-15,2023-02-22 16:19:00,Cash
272-65-1806,9,27.396,575.316,2019-01-15,2023-02-22 17:17:00,Ewallet
138-17-5109,9,40.1445,843.0345,2019-01-15,2023-02-22 15:42:00,Credit card
188-55-0967,10,33.235,697.935,2019-01-15,2023-02-22 15:01:00,Credit card
886-54-6089,6,3.429,72.009,2019-01-15,2023-02-22 17:24:00,Cash
450-28-2866,5,4.36,91.56,2019-01-15,2023-02-22 19:25:00,Cash
589-02-8023,2,8.377,175.917,2019-01-15,2023-02-22 10:54:00,Credit card
660-29-7083,10,27.935,586.635,2019-01-15,2023-02-22 15:01:00,Cash
648-83-1321,10,31.78,667.38,2019-01-16,2023-02-22 17:59:00,Cash
234-65-2137,10,47.79,1003.59,2019-01-16,2023-02-22 13:32:00,Cash
677-11-0152,9,41.967,881.307,2019-01-16,2023-02-22 18:08:00,Cash
618-34-8551,2,9.318,195.678,2019-01-16,2023-02-22 18:41:00,Credit card
347-72-6115,7,31.759,666.939,2019-01-16,2023-02-22 18:03:00,Credit card
859-71-0933,2,1.549,32.529,2019-01-16,2023-02-22 15:10:00,Cash
286-62-6248,4,7.842,164.682,2019-01-16,2023-02-22 20:03:00,Credit card
842-29-4695,7,5.999,125.979,2019-01-16,2023-02-22 12:07:00,Credit card
372-62-5264,9,23.67,497.07,2019-01-16,2023-02-22 14:42:00,Cash
659-65-8956,1,2.568,53.928,2019-01-16,2023-02-22 15:26:00,Ewallet
670-79-6321,7,33.1065,695.2365,2019-01-17,2023-02-22 15:27:00,Credit card
679-22-6530,2,4.062,85.302,2019-01-17,2023-02-22 10:01:00,Credit card
698-98-5964,10,40.605,852.705,2019-01-17,2023-02-22 13:01:00,Credit card
600-38-9738,5,17.98,377.58,2019-01-17,2023-02-22 15:05:00,Credit card
101-81-4070,2,6.282,131.922,2019-01-17,2023-02-22 12:36:00,Ewallet
349-97-8902,2,5.789,121.569,2019-01-17,2023-02-22 10:37:00,Ewallet
445-30-9252,3,3.855,80.955,2019-01-17,2023-02-22 17:59:00,Ewallet
497-37-6538,7,20.6185,432.9885,2019-01-17,2023-02-22 15:15:00,Ewallet
746-54-5508,6,6.456,135.576,2019-01-17,2023-02-22 12:48:00,Credit card
200-16-5952,2,6.565,137.865,2019-01-17,2023-02-22 16:46:00,Cash
280-35-5823,1,4.336,91.056,2019-01-17,2023-02-22 18:45:00,Ewallet
166-19-2553,6,26.718,561.078,2019-01-18,2023-02-22 17:26:00,Cash
678-79-0726,9,40.7835,856.4535,2019-01-18,2023-02-22 15:28:00,Cash
622-20-1945,1,1.971,41.391,2019-01-18,2023-02-22 15:08:00,Cash
562-12-5430,3,13.2225,277.6725,2019-01-18,2023-02-22 10:11:00,Ewallet
821-14-9046,6,5.244,110.124,2019-01-18,2023-02-22 15:04:00,Credit card
700-81-1757,5,6.5775,138.1275,2019-01-18,2023-02-22 20:59:00,Credit card
706-36-6154,9,8.712,182.952,2019-01-18,2023-02-22 18:43:00,Ewallet
414-12-7047,8,7.916,166.236,2019-01-18,2023-02-22 12:04:00,Ewallet
781-84-8059,7,21.259,446.439,2019-01-18,2023-02-22 16:23:00,Ewallet
882-40-4577,4,13.452,282.492,2019-01-19,2023-02-22 15:28:00,Credit card
125-45-2293,6,29.73,624.33,2019-01-19,2023-02-22 13:11:00,Cash
809-69-9497,10,22.84,479.64,2019-01-19,2023-02-22 19:30:00,Ewallet
832-51-6761,8,13.552,284.592,2019-01-19,2023-02-22 20:29:00,Ewallet
149-61-1929,10,32.095,673.995,2019-01-19,2023-02-22 14:08:00,Credit card
608-27-6295,6,15.867,333.207,2019-01-19,2023-02-22 17:34:00,Credit card
645-44-1170,9,26.1315,548.7615,2019-01-19,2023-02-22 20:07:00,Ewallet
375-72-3056,3,9.459,198.639,2019-01-19,2023-02-22 15:58:00,Ewallet
761-49-0439,8,4.84,101.64,2019-01-19,2023-02-22 10:17:00,Ewallet
796-32-9050,6,15.384,323.064,2019-01-19,2023-02-22 16:31:00,Cash
284-54-4231,1,4.0465,84.9765,2019-01-19,2023-02-22 16:08:00,Credit card
151-27-8496,4,11.226,235.746,2019-01-19,2023-02-22 11:43:00,Ewallet
894-41-5205,8,17.272,362.712,2019-01-19,2023-02-22 19:39:00,Credit card
482-17-1179,3,1.791,37.611,2019-01-19,2023-02-22 12:47:00,Credit card
728-47-9078,4,11.918,250.278,2019-01-19,2023-02-22 12:46:00,Cash
779-06-0012,1,4.4305,93.0405,2019-01-19,2023-02-22 10:21:00,Cash
458-10-8612,7,22.428,470.988,2019-01-20,2023-02-22 12:27:00,Ewallet
356-44-8813,3,5.622,118.062,2019-01-20,2023-02-22 13:45:00,Credit card
257-73-1380,4,16.586,348.306,2019-01-20,2023-02-22 16:51:00,Ewallet
760-27-5490,8,6.248,131.208,2019-01-20,2023-02-22 20:37:00,Ewallet
410-67-1709,8,25.552,536.592,2019-01-20,2023-02-22 17:48:00,Ewallet
817-48-8732,10,36.175,759.675,2019-01-20,2023-02-22 15:55:00,Cash
725-96-3778,8,35.7,749.7,2019-01-20,2023-02-22 10:13:00,Cash
787-87-2010,4,11.1,233.1,2019-01-20,2023-02-22 15:48:00,Credit card
378-24-2715,2,5.344,112.224,2019-01-20,2023-02-22 20:38:00,Ewallet
645-78-8093,2,9.314,195.594,2019-01-20,2023-02-22 18:09:00,Ewallet
329-62-1586,3,8.2005,172.2105,2019-01-21,2023-02-22 18:00:00,Credit card
269-10-8440,7,18.6095,390.7995,2019-01-21,2023-02-22 18:01:00,Cash
870-72-4431,6,29.757,624.897,2019-01-21,2023-02-22 14:42:00,Credit card
239-10-7476,6,23.385,491.085,2019-01-21,2023-02-22 16:37:00,Ewallet
316-68-6352,2,3.636,76.356,2019-01-21,2023-02-22 10:00:00,Cash
401-18-8016,1,4.9065,103.0365,2019-01-21,2023-02-22 17:36:00,Cash
162-65-8559,1,3.449,72.429,2019-01-21,2023-02-22 20:13:00,Cash
462-67-9126,6,21.966,461.286,2019-01-21,2023-02-22 17:44:00,Cash
460-35-4390,3,4.602,96.642,2019-01-22,2023-02-22 11:00:00,Ewallet
287-21-9091,9,33.6015,705.6315,2019-01-22,2023-02-22 10:55:00,Ewallet
521-18-7827,5,9.8475,206.7975,2019-01-22,2023-02-22 20:46:00,Credit card
563-47-4072,6,16.743,351.603,2019-01-22,2023-02-22 11:52:00,Cash
186-09-3669,1,4.0755,85.5855,2019-01-22,2023-02-22 10:57:00,Ewallet
756-01-7507,5,5.095,106.995,2019-01-22,2023-02-22 18:56:00,Cash
120-54-2248,5,7.215,151.515,2019-01-22,2023-02-22 18:08:00,Credit card
316-66-3011,9,21.4335,450.1035,2019-01-23,2023-02-22 12:35:00,Cash
148-41-7930,7,34.986,734.706,2019-01-23,2023-02-22 10:33:00,Cash
790-38-4466,5,2.7475,57.6975,2019-01-23,2023-02-22 10:18:00,Credit card
213-32-1216,6,19.818,416.178,2019-01-23,2023-02-22 10:28:00,Cash
160-22-2687,5,23.9875,503.7375,2019-01-23,2023-02-22 14:21:00,Ewallet
318-12-0304,1,1.5305,32.1405,2019-01-23,2023-02-22 12:20:00,Ewallet
740-22-2500,3,12.6075,264.7575,2019-01-23,2023-02-22 13:29:00,Cash
828-46-6863,6,29.559,620.739,2019-01-23,2023-02-22 11:22:00,Credit card
565-80-5980,4,9.476,198.996,2019-01-23,2023-02-22 10:25:00,Cash
731-81-9469,10,44.9,942.9,2019-01-23,2023-02-22 13:00:00,Credit card
480-63-2856,8,7.7,161.7,2019-01-23,2023-02-22 18:37:00,Ewallet
434-83-9547,8,15.388,323.148,2019-01-23,2023-02-22 11:51:00,Cash
809-46-1866,4,11.63,244.23,2019-01-23,2023-02-22 17:44:00,Cash
767-05-1286,6,25.131,527.751,2019-01-23,2023-02-22 12:10:00,Ewallet
604-70-6476,5,4.485,94.185,2019-01-23,2023-02-22 14:04:00,Ewallet
219-61-4139,1,4.154,87.234,2019-01-23,2023-02-22 17:16:00,Ewallet
477-59-2456,7,15.904,333.984,2019-01-23,2023-02-22 11:15:00,Cash
435-13-4908,8,34.672,728.112,2019-01-24,2023-02-22 18:04:00,Credit card
510-79-0415,6,6.924,145.404,2019-01-24,2023-02-22 19:20:00,Ewallet
235-06-8510,3,12.858,270.018,2019-01-24,2023-02-22 20:59:00,Ewallet
139-20-0155,10,20.15,423.15,2019-01-24,2023-02-22 17:37:00,Credit card
232-11-3025,10,39.385,827.085,2019-01-24,2023-02-22 10:04:00,Cash
438-23-1242,7,26.558,557.718,2019-01-24,2023-02-22 10:38:00,Ewallet
775-72-1988,5,18.32,384.72,2019-01-24,2023-02-22 15:05:00,Ewallet
602-16-6955,10,38.3,804.3,2019-01-24,2023-02-22 18:10:00,Ewallet
443-60-9639,1,3.0435,63.9135,2019-01-24,2023-02-22 13:24:00,Cash
789-23-8625,3,13.983,293.643,2019-01-24,2023-02-22 11:45:00,Cash
778-34-2523,8,19.448,408.408,2019-01-24,2023-02-22 10:57:00,Cash
237-44-6163,8,4.224,88.704,2019-01-24,2023-02-22 17:43:00,Cash
726-27-2396,5,19.375,406.875,2019-01-24,2023-02-22 20:36:00,Ewallet
261-12-8671,2,6.096,128.016,2019-01-25,2023-02-22 19:39:00,Credit card
283-79-9594,7,16.9785,356.5485,2019-01-25,2023-02-22 13:30:00,Credit card
730-61-8757,4,10.226,214.746,2019-01-25,2023-02-22 10:11:00,Credit card
340-21-9136,4,8.01,168.21,2019-01-25,2023-02-22 11:40:00,Cash
307-83-9164,4,12.002,252.042,2019-01-25,2023-02-22 15:54:00,Cash
569-71-4390,2,2.187,45.927,2019-01-25,2023-02-22 14:29:00,Ewallet
268-03-6164,1,4.8055,100.9155,2019-01-25,2023-02-22 16:28:00,Ewallet
778-71-5554,1,0.7715,16.2015,2019-01-25,2023-02-22 15:46:00,Credit card
145-94-9061,5,22.09,463.89,2019-01-25,2023-02-22 19:48:00,Cash
843-73-4724,1,3.705,77.805,2019-01-25,2023-02-22 11:05:00,Cash
191-10-6171,7,13.867,291.207,2019-01-25,2023-02-22 13:18:00,Cash
288-38-3758,3,12.7305,267.3405,2019-01-25,2023-02-22 18:30:00,Ewallet
280-17-4359,10,45.25,950.25,2019-01-25,2023-02-22 13:48:00,Cash
394-55-6384,9,31.5855,663.2955,2019-01-25,2023-02-22 13:38:00,Cash
824-88-3614,8,13.724,288.204,2019-01-25,2023-02-22 15:00:00,Ewallet
888-02-0338,9,11.8035,247.8735,2019-01-25,2023-02-22 20:24:00,Ewallet
856-66-2701,3,7.995,167.895,2019-01-25,2023-02-22 14:19:00,Ewallet
881-41-7302,1,3.2495,68.2395,2019-01-26,2023-02-22 10:06:00,Credit card
896-34-0956,1,1.066,22.386,2019-01-26,2023-02-22 12:43:00,Cash
308-39-1707,1,0.6045,12.6945,2019-01-26,2023-02-22 18:19:00,Credit card
135-13-8269,2,7.888,165.648,2019-01-26,2023-02-22 16:04:00,Cash
539-21-7227,5,12.885,270.585,2019-01-26,2023-02-22 17:45:00,Cash
794-42-3736,2,3.333,69.993,2019-01-26,2023-02-22 14:41:00,Credit card
847-38-7188,3,14.502,304.542,2019-01-26,2023-02-22 19:56:00,Ewallet
834-61-8124,7,18.0915,379.9215,2019-01-26,2023-02-22 18:22:00,Cash
836-82-5858,9,31.2165,655.5465,2019-01-26,2023-02-22 19:14:00,Ewallet
641-43-2399,4,5.11,107.31,2019-01-26,2023-02-22 20:23:00,Ewallet
258-69-7810,5,9.2125,193.4625,2019-01-26,2023-02-22 18:53:00,Cash
452-04-8808,7,30.478,640.038,2019-01-26,2023-02-22 15:17:00,Cash
289-65-5721,2,8.137,170.877,2019-01-26,2023-02-22 19:28:00,Cash
316-55-4634,5,20.0125,420.2625,2019-01-26,2023-02-22 12:45:00,Credit card
173-82-9529,10,18.975,398.475,2019-01-26,2023-02-22 14:51:00,Cash
225-32-0908,10,22.43,471.03,2019-01-26,2023-02-22 19:54:00,Ewallet
176-78-1170,3,5.0715,106.5015,2019-01-26,2023-02-22 15:11:00,Ewallet
394-41-0748,9,24.3315,510.9615,2019-01-27,2023-02-22 14:55:00,Ewallet
123-19-1176,8,23.288,489.048,2019-01-27,2023-02-22 20:33:00,Ewallet
325-90-8763,10,23.285,488.985,2019-01-27,2023-02-22 13:58:00,Cash
869-11-3082,4,19.232,403.872,2019-01-27,2023-02-22 20:03:00,Credit card
862-59-8517,6,27.072,568.512,2019-01-27,2023-02-22 11:17:00,Cash
585-90-0249,1,3.663,76.923,2019-01-27,2023-02-22 18:08:00,Ewallet
870-54-3162,5,8.0625,169.3125,2019-01-27,2023-02-22 13:26:00,Cash
624-01-8356,10,24.505,514.605,2019-01-27,2023-02-22 10:44:00,Credit card
595-27-4851,7,18.998,398.958,2019-01-27,2023-02-22 18:05:00,Ewallet
534-01-4457,6,24.513,514.773,2019-01-27,2023-02-22 14:36:00,Credit card
788-07-8452,7,8.484,178.164,2019-01-27,2023-02-22 17:38:00,Ewallet
613-59-9758,10,7.18,150.78,2019-01-27,2023-02-22 14:28:00,Cash
633-91-1052,2,1.203,25.263,2019-01-27,2023-02-22 15:51:00,Cash
620-02-2046,2,6.94,145.74,2019-01-27,2023-02-22 19:48:00,Ewallet
865-41-9075,7,4.0355,84.7455,2019-01-28,2023-02-22 17:35:00,Cash
243-47-2663,6,5.631,118.251,2019-01-28,2023-02-22 16:43:00,Credit card
372-26-1506,5,5.955,125.055,2019-01-28,2023-02-22 19:24:00,Ewallet
149-71-6266,9,35.1315,737.7615,2019-01-28,2023-02-22 12:43:00,Cash
400-89-4171,8,32.388,680.148,2019-01-28,2023-02-22 13:05:00,Cash
430-53-4718,8,30.148,633.108,2019-01-28,2023-02-22 15:46:00,Credit card
390-80-5128,1,0.9575,20.1075,2019-01-28,2023-02-22 17:58:00,Credit card
699-88-1972,8,39.664,832.944,2019-01-28,2023-02-22 17:47:00,Credit card
342-65-4817,3,13.02,273.42,2019-01-28,2023-02-22 16:47:00,Ewallet
593-65-1552,4,13.962,293.202,2019-01-28,2023-02-22 20:50:00,Credit card
726-29-6793,8,9.672,203.112,2019-01-28,2023-02-22 20:54:00,Ewallet
544-55-9589,10,10.715,225.015,2019-01-28,2023-02-22 11:51:00,Cash
211-30-9270,5,4.3525,91.4025,2019-01-28,2023-02-22 15:16:00,Credit card
222-42-0244,9,32.4495,681.4395,2019-01-28,2023-02-22 13:53:00,Credit card
569-76-2760,4,4.402,92.442,2019-01-29,2023-02-22 18:15:00,Credit card
110-48-7033,4,6.524,137.004,2019-01-29,2023-02-22 14:12:00,Cash
233-67-5758,1,2.0175,42.3675,2019-01-29,2023-02-22 13:46:00,Ewallet
382-25-8917,6,12.624,265.104,2019-01-29,2023-02-22 12:25:00,Cash
137-63-5492,10,29.38,616.98,2019-01-29,2023-02-22 14:26:00,Ewallet
343-61-3544,10,13.335,280.035,2019-01-29,2023-02-22 11:48:00,Cash
746-94-0204,9,37.458,786.618,2019-01-29,2023-02-22 11:56:00,Credit card
862-17-9201,6,25.215,529.515,2019-01-29,2023-02-22 10:48:00,Credit card
606-80-4905,6,5.745,120.645,2019-01-29,2023-02-22 10:01:00,Credit card
816-72-8853,5,6.9825,146.6325,2019-01-29,2023-02-22 15:48:00,Cash
800-09-8606,5,21.8425,458.6925,2019-01-29,2023-02-22 19:45:00,Cash
